shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
33.3,1987-88,0,1,,0,3,0,1,3,1,BUF,1,21,1,NHL,0,,3,2,[],0
12.3,1988-89,120,25,,1,114,4,11,-5,30,BUF,14,22,0,NHL,2,,69,44,[],1
15.1,1989-90,79,6,,0,73,1,10,0,7,BUF,11,23,1,NHL,0,,45,18,[],1
14.2,1990-91,76,18,,0,134,10,18,-8,28,BUF,19,24,2,NHL,0,,76,47,[],1
20.1,1991-92,67,35,,2,149,9,22,30,46,TOT,30,25,5,NHL,0,,75,76,[],8
0.0,1991-92,0,1,,0,6,0,0,0,1,BUF,0,25,0,NHL,0,,3,1,[],0
21.0,1991-92,67,34,,2,143,9,22,30,45,NYI,30,25,5,NHL,0,,72,75,[],8
22.4,1992-93,108,32,,3,147,7,25,13,42,NYI,33,26,5,NHL,3,,70,75,"[{'link': '/awards/voting-1993.html#selke', 'name': 'Selke-18'}]",5
16.5,1993-94,73,24,,0,218,9,22,-7,33,NYI,36,27,3,NHL,5,,83,69,[],9
13.6,1994-95,34,6,,0,66,1,7,0,7,TOT,9,28,2,NHL,0,,45,16,[],2
12.0,1994-95,34,3,,0,50,1,5,0,4,NYI,6,28,1,NHL,0,,33,10,[],1
18.8,1994-95,0,3,,0,16,0,2,0,3,TOR,3,28,1,NHL,0,,12,6,[],1
12.3,1995-96,104,29,,1,155,15,14,10,45,TOT,19,29,5,NHL,0,,78,64,[],5
12.8,1995-96,68,17,,0,94,8,9,6,25,TOR,12,29,5,NHL,0,,44,37,[],3
11.5,1995-96,36,12,,1,61,7,5,4,20,DAL,7,29,0,NHL,0,,34,27,[],2
14.5,1996-97,54,18,,0,131,6,14,8,24,DAL,19,30,5,NHL,0,,73,43,[],5
10.9,1997-98,35,13,,0,55,3,3,7,16,DAL,6,31,1,NHL,0,,53,22,[],3
9.9,1998-99,54,11,1197,3,121,3,10,-10,17,TOT,12,32,3,NHL,0,16:10,74,29,[],2
10.9,1998-99,50,8,1016,3,101,3,9,-12,14,TBL,11,32,3,NHL,0,16:23,62,25,[],2
5.0,1998-99,4,3,181,0,20,0,1,2,3,DAL,1,32,0,NHL,0,15:04,12,4,[],0
7.7,1999-00,10,9,425,0,39,1,3,-1,10,PHX,3,33,0,NHL,0,15:45,27,13,[],0
8.6,2000-01,26,6,424,0,35,1,3,-1,7,DAL,3,34,0,NHL,0,12:28,34,10,[],0
16.7,2001-02,37,7,651,0,42,1,7,-5,8,TOT,7,35,1,NHL,0,11:14,58,15,[],0
15.0,2001-02,24,3,340,0,20,0,3,-4,3,DAL,3,35,0,NHL,0,10:37,32,6,[],0
23.5,2001-02,9,3,232,0,17,1,4,-3,4,BOS,4,35,1,NHL,0,13:38,17,8,[],0
0.0,2001-02,4,1,80,0,5,0,0,2,1,WSH,0,35,0,NHL,0,8:52,9,1,[],0
