assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Toronto Canoe Club,0,1926-27,9,0,0,16,0,OHA-Jr.
0,Montreal AAA,3,1929-30,7,3,16,19,0,MCHL
0,Windsor Bulldogs,1,1930-31,27,1,27,20,0,IHL
11,Windsor Bulldogs,13,1931-32,40,24,51,21,0,IHL
9,Windsor/Detroit,9,1932-33,41,18,47,22,0,IHL
23,Syracuse Stars,14,1933-34,43,37,24,23,0,IHL
19,Syracuse Stars,10,1934-35,42,29,41,24,0,IHL
5,South Porcupine Porkies,3,1937-38,8,8,8,27,0,NOHA
1,South Porcupine Porkies,5,1939-40,15,6,18,29,0,NOHA
8,South Porcupine Porkies,8,1940-41,22,16,18,30,0,NOHA
4,South Porcupine Porkies,1,1941-42,4,5,0,31,0,NOHA
