average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,4,1,0,NHL,18,1,4,0,8,2,0,0,1,1983-84,BUF,2,2,[],25.0,,7
,10,0,0,NHL,19,2,33,-7,20,1,1,0,6,1984-85,BUF,2,8,[],10.0,,30
,2,1,0,NHL,20,1,2,-2,9,1,0,0,0,1985-86,BUF,1,1,[],11.1,,19
,40,3,0,NHL,21,15,26,4,109,12,6,0,7,1986-87,BUF,18,22,[],16.5,,56
,27,1,0,NHL,22,15,87,7,61,6,4,0,2,1987-88,BUF,10,17,[],16.4,,36
,46,4,0,NHL,23,14,136,-9,155,11,11,0,10,1988-89,TOT,22,24,[],14.2,,67
,17,1,0,NHL,23,5,44,-5,42,4,3,0,5,1988-89,BUF,7,10,[],16.7,,24
,29,3,0,NHL,23,9,92,-4,113,7,8,0,5,1988-89,CHI,15,14,[],13.3,,43
,70,3,0,NHL,24,22,224,4,156,22,12,1,13,1989-90,CHI,34,36,[],21.8,,0
,51,6,2,NHL,25,19,135,0,127,10,10,2,8,1990-91,CHI,22,29,[],17.3,,72
,36,2,0,NHL,26,12,118,-5,140,17,4,0,3,1991-92,TOT,21,15,[],15.0,,77
,12,0,0,NHL,26,5,16,-1,32,4,2,0,1,1991-92,CHI,6,6,[],18.8,,11
,24,2,0,NHL,26,7,102,-4,108,13,2,0,2,1991-92,NYI,15,9,[],13.9,,66
,39,0,1,NHL,27,16,110,-19,168,11,7,1,3,1992-93,TBL,19,20,[],11.3,,83
,20,1,0,NHL,28,8,37,-7,77,8,2,0,2,1993-94,TBL,10,10,[],13.0,,53
,34,1,0,NHL,29,16,74,17,81,11,3,0,4,1994-95,STL,14,20,[],17.3,,48
,21,3,0,NHL,30,6,78,0,98,9,2,0,4,1995-96,STL,11,10,[],11.2,,61
,3,0,0,NHL,31,2,13,-2,20,1,0,0,0,1996-97,CHI,1,2,[],5.0,,19
