game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,12.5,3,8,0,22,,6,3,1996-97,4,0,1,1,STL,,6,,NHL
0,9.4,-3,32,0,23,,10,3,1997-98,6,0,3,3,STL,,2,,NHL
1,16.1,-5,31,3,24,249,13,4,1998-99,9,0,5,2,STL,,4,,NHL
1,5.3,3,38,0,26,273,15,4,2000-01,6,0,2,2,STL,,2,,NHL
1,15.4,3,26,2,27,197,10,7,2001-02,11,1,4,1,STL,,6,,NHL
0,18.2,2,11,1,28,128,7,4,2002-03,6,0,2,1,STL,,2,,NHL
0,7.7,1,13,0,29,91,5,0,2003-04,1,0,1,1,STL,,4,,NHL
0,11.1,-1,9,0,32,99,5,3,2006-07,4,0,1,1,MIN,,0,,NHL
0,6.7,0,15,1,33,127,6,2,2007-08,3,0,1,0,MIN,,2,28,NHL
0,7.7,-2,13,1,34,106,6,2,2008-09,3,0,1,0,VAN,,2,25,NHL
0,11.8,2,17,0,35,158,11,4,2009-10,6,0,2,2,VAN,,4,36,NHL
