goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,-0.2,0,0,1970-71,[],7,57,0,0,0,0,0,0,PIT,0,0,0,7.37,21,NHL,0,0,2,0,0,1
131,0,-24.15,0,1973-74,[],102,1308,0,0,0,609,711,0,LAS,0,0,0,4.68,24,WHA,.857,0,27,0,0,0
109,0,-10.44,0,1974-75,[],121,1776,0,12,0,888,1009,0,MIB,2,0,0,4.09,25,WHA,.880,0,32,0,0,0
102,0,-3.11,0,1975-76,[],161,2616,0,4,0,1217,1378,2,TOT,2,0,0,3.69,26,WHA,.883,0,49,2,0,0
0,0,0,0,1975-76,[],16,224,0,0,0,92,108,1,NEW,0,0,0,4.29,26,WHA,.852,0,4,1,0,0
100,0,0.52,0,1975-76,[],145,2392,0,4,0,1125,1270,1,CNS,2,0,0,3.64,26,WHA,.886,0,45,1,0,0
126,0,-18.20,0,1976-77,[],88,1218,0,2,0,512,600,0,TOT,1,0,0,4.33,27,WHA,.853,0,28,0,0,0
137,0,-17.35,0,1976-77,[],64,823,0,0,0,337,401,0,CNS,1,0,0,4.67,27,WHA,.840,0,17,0,0,0
0,0,0,0,1976-77,[],24,395,0,2,0,175,199,0,INR,0,0,0,3.65,27,WHA,.879,0,11,0,0,0
0,0,0,0,1977-78,[],24,326,0,0,0,129,153,0,CNS,0,0,0,4.42,28,WHA,.843,0,7,0,0,0
