goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1966-67,19,290,0,0,0,0,0,0,Hamilton Red Wings,0,0,0,3.93,17,OHA-Jr.,0,0,5,0,0,0
0,0,0,1967-68,5,60,0,0,0,0,0,0,Hamilton Red Wings,0,0,0,5.00,18,OHA-Jr.,0,0,1,0,0,0
0,0,0,1968-69,212,2690,0,0,0,0,0,0,3 Teams,0,0,0,4.73,19,OHA-Jr.,0,0,45,0,0,0
0,0,0,1968-69,3,60,0,0,0,0,0,0,Hamilton Red Wings,0,0,0,3.00,19,OHA-Jr.,0,0,1,0,0,0
0,0,0,1968-69,125,1320,0,0,0,0,0,0,Kitchener Rangers,0,0,0,5.68,19,OHA-Jr.,0,0,22,0,0,0
0,0,0,1968-69,84,1310,0,0,0,0,0,0,Toronto Marlboros,0,0,0,3.85,19,OHA-Jr.,0,0,22,0,0,0
0,0,0,1969-70,121,2101,0,0,0,0,0,0,Fort Wayne Komets,3,0,0,3.46,20,IHL,0,0,37,0,0,0
0,0,0,1969-70,5,100,0,0,0,0,0,0,Baltimore Clippers,0,0,0,3.00,20,AHL,0,0,3,0,0,0
0,0,0,1970-71,203,2828,0,0,0,0,0,0,Amarillo Wranglers,0,0,0,4.31,21,CHL,0,0,48,0,0,0
0,0,0,1971-72,161,3074,0,0,0,0,0,0,Fort Wayne Komets,2,0,0,3.14,22,IHL,0,0,52,0,0,0
0,0,0,1972-73,110,2251,0,0,0,0,0,0,Hershey Bears,3,0,0,2.93,23,AHL,0,0,41,0,0,0
0,0,0,1973-74,12,180,0,0,0,0,0,0,Greensboro Generals,0,0,0,4.00,24,SHL,0,0,3,0,0,0
0,0,0,1974-75,19,320,0,0,0,0,0,0,Tulsa Oilers,0,0,0,3.56,25,CHL,0,0,6,0,3,3
0,0,0,1976-77,44,480,0,0,0,0,0,0,Binghamton Dusters,0,0,0,5.50,27,NAPro,0,0,8,0,0,0
0,0,0,1977-78,11,155,1,0,0,0,0,0,Hampton Gulls,0,0,0,4.26,28,AHL,0,0,3,0,1,1
0,0,0,1977-78,43,660,0,0,0,0,0,0,San Francisco Shamrocks,0,0,0,3.91,28,PHL,0,0,11,0,0,0
0,0,0,1978-79,170,2058,0,0,0,0,0,0,Tucson Rustlers,1,0,0,4.96,29,PHL,0,0,37,0,0,0
