average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,15,0,0,NHL,22,13,112,5,33,2,0,0,0,1981-82,CGY,2,13,[],6.1,,54
,5,0,0,NHL,23,3,21,-4,11,2,0,0,0,1982-83,CGY,2,3,[],18.2,,15
,4,0,0,NHL,24,2,35,0,20,1,0,1,0,1983-84,CGY,1,3,[],5.0,,17
,12,0,0,NHL,25,9,134,14,38,2,0,0,1,1984-85,CGY,2,10,[],5.3,,47
,19,1,0,NHL,26,11,244,18,64,6,1,1,0,1985-86,TOT,7,12,[],10.9,,60
,10,0,0,NHL,26,5,128,9,30,5,0,0,0,1985-86,CGY,5,5,[],16.7,,29
,9,1,0,NHL,26,6,116,9,34,1,1,1,0,1985-86,STL,2,7,[],5.9,,31
,14,1,0,NHL,27,11,164,16,54,2,0,0,1,1986-87,STL,2,12,[],3.7,,66
,1,0,0,NHL,28,1,78,-3,9,0,0,0,0,1987-88,TOT,0,1,[],0.0,,31
,1,0,0,NHL,28,1,78,-2,9,0,0,0,0,1987-88,STL,0,1,[],0.0,,30
,0,0,0,NHL,28,0,0,-1,0,0,0,0,0,1987-88,HAR,0,0,[],0,,1
