pim,team,assists,plus_minus,points,league,games_played,year,age,goals
16,HC Minsk,7,0,17,Belarus,26,2001-02,18,10
2,Belarus,1,-2,1,WJC-A,6,2001-02,18,0
2,Belarus,1,-2,3,WJ18-A,8,2001-02,18,2
28,Nizhnekamsk Neftekhimik,11,0,17,Russia,44,2003-04,20,6
26,Neftekhimik Nizhnekamsk,11,0,17,Russia,45,2003-04,20,6
0,Belarus,6,2,10,WJC-B,5,2003-04,20,4
8,Belarus,1,0,3,WC-B,5,2003-04,20,2
34,Nizhnekamsk Neftekhimik,20,0,36,Russia,60,2004-05,21,16
32,Neftekhimik Nizhnekamsk,20,0,36,Russia,60,2004-05,21,16
10,Belarus,3,2,7,Oly-Q,3,2004-05,21,4
2,Belarus,1,-1,5,WC-A,6,2004-05,21,4
28,Dynamo Moscow,17,0,27,Russia,48,2005-06,22,10
10,Yunost-Minsk,8,0,14,BelOpen,8,2005-06,22,6
2,Belarus,4,2,9,WC-A,7,2005-06,22,5
34,Hamilton Bulldogs,37,7,54,AHL,66,2006-07,23,17
6,Hamilton Bulldogs,12,2,20,AHL,12,2007-08,24,8
0,Belarus,3,4,3,WC-A,5,2007-08,24,0
6,Belarus,3,-2,3,WC-A,6,2009-10,26,0
2,Belarus,2,0,4,WC-A,6,2010-11,27,2
4,Belarus,3,-2,4,WC-A,7,2011-12,28,1
10,CSKA Moscow,12,8,24,KHL,29,2012-13,29,12
0,Belarus (all),7,6,11,Internationa,8,2013-14,30,4
0,Belarus,4,4,8,WC,6,2013-14,30,4
