goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,won,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1950-51,10,,120,0,0,0,0,0,0,BOS,0,0,0,5.00,24,NHL,0,0,2,0,0,2
0,0,0,1952-53,11,,163,0,0,0,0,0,0,BOS,0,0,0,4.05,26,NHL,0,0,3,0,0,2
