power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,1,0,0,NHL,1985-86,20,0,TOR,,0,0,0,0,1,,,0.0,0
0,13,4,0,NHL,1986-87,21,2,TOR,,2,42,2,0,15,,,13.3,2
1,6,4,0,NHL,1987-88,22,1,TOR,,3,20,1,0,9,,,11.1,0
0,5,3,0,NHL,1989-90,24,0,TOR,,3,16,0,0,7,,,0.0,0
0,21,11,0,NHL,1992-93,27,1,TOR,,10,26,1,0,41,,,2.4,1
0,18,6,1,NHL,1993-94,28,1,TOR,,5,37,1,0,20,,,5.0,1
0,7,3,0,NHL,1994-95,29,0,TOR,,3,6,-4,0,16,,,0.0,0
0,6,0,0,NHL,1995-96,30,0,TOR,,0,24,-2,0,9,,,0.0,0
1,10,4,0,NHL,1997-98,32,2,STL,,2,10,-3,1,16,,,12.5,0
0,2,1,0,NHL,1998-99,33,0,DET,21:20,1,0,0,0,3,43,,0.0,0
0,9,1,0,NHL,1999-00,34,0,DET,10:02,1,4,2,0,7,90,,0.0,0
0,5,0,0,NHL,2000-01,35,0,DET,17:03,0,8,-5,0,4,85,,0.0,0
