assists,team,goals,year,games_played,points,pim,age,plus_minus,league
30,Saskatoon Blades,22,1969-70,60,52,22,17,0,WCJHL
26,2 Teams,32,1970-71,65,58,36,18,0,WCJHL
18,Saskatoon Blades,17,1970-71,40,35,20,18,0,WCJHL
8,Calgary Centennials,15,1970-71,25,23,16,18,0,WCJHL
32,Calgary Centennials,39,1971-72,68,71,38,19,0,WCJHL
4,Providence Reds,1,1972-73,10,5,2,20,0,AHL
11,Omaha Knights,15,1972-73,53,26,19,20,0,CHL
29,Providence Reds,34,1973-74,75,63,31,21,0,AHL
20,2 Teams,29,1974-75,70,49,27,22,0,AHL
8,Baltimore Clippers,16,1974-75,38,24,11,22,0,AHL
12,Providence Reds,13,1974-75,32,25,16,22,0,AHL
11,2 Teams,9,1975-76,68,20,24,23,0,AHL
1,Springfield Indians,2,1975-76,25,3,8,23,0,AHL
10,Baltimore Clippers,7,1975-76,43,17,16,23,0,AHL
4,Rhode Island Reds,3,1976-77,16,7,2,24,0,AHL
21,Fort Wayne Komets,14,1976-77,45,35,14,24,0,IHL
29,Trail Smoke Eaters,12,1977-78,45,41,8,25,0,WIHL
3,Trail Smoke Eaters,1,1980-81,10,4,0,28,0,WIHL
