power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,4,1,0,NHL,1955-56,23,0,DET,,1,0,0,0,0,,,0,0
0,5,0,0,NHL,1956-57,24,0,DET,,0,6,0,0,0,,,0,0
0,4,1,0,NHL,1957-58,25,0,DET,,1,4,0,0,0,,,0,0
0,6,3,0,NHL,1958-59,26,1,CBH,,2,26,0,0,0,,,0,0
0,4,0,0,NHL,1959-60,27,0,CBH,,0,4,-4,0,2,,,0.0,0
0,7,0,0,NHL,1960-61,28,0,CBH,,0,2,2,0,0,,SC,0,0
0,8,0,0,NHL,1961-62,29,0,TOR,,0,6,1,0,3,,SC,0.0,0
0,1,0,0,NHL,1963-64,31,0,TOR,,0,0,0,0,0,,SC,0,0
0,1,0,0,NHL,1964-65,32,0,TOR,,0,2,0,0,0,,,0,0
0,14,3,0,NHL,1967-68,35,0,STL,,3,10,6,0,7,,,0.0,0
0,12,0,0,NHL,1968-69,36,0,STL,,0,10,3,0,2,,,0.0,0
0,14,1,0,NHL,1969-70,37,0,STL,,1,16,-2,0,5,,,0.0,0
0,6,0,0,NHL,1970-71,38,0,STL,,0,6,0,0,2,,,0.0,0
