assists,team,goals,year,games_played,points,pim,age,plus_minus,league
108,Sudbury Legionnaires,132,1984-85,70,240,0,16,0,NOHA
32,Stratford Cullitons,50,1985-86,35,82,75,17,0,ON-Jr.B
63,Stratford Cullitons,67,1986-87,40,130,172,18,0,ON-Jr.B
24,Michigan State Spartans,19,1987-88,44,43,48,19,0,CCHA
17,Michigan State Spartans,26,1988-89,47,43,80,20,0,CCHA
31,Michigan State Spartans,28,1989-90,45,59,54,21,0,CCHA
19,Michigan State Spartans,30,1990-91,39,49,57,22,0,CCHA
36,Salt Lake Golden Eagles,41,1991-92,76,77,85,23,0,IHL
36,Salt Lake Golden Eagles,29,1992-93,78,65,63,24,0,IHL
19,SG Brunico,20,1993-94,28,39,42,25,0,Alpenliga
8,SG Brunico,10,1993-94,11,18,15,25,0,Italy
5,Las Vegas Thunder,10,1993-94,37,15,45,25,0,IHL
28,Worcester IceCats,23,1994-95,70,51,50,26,0,AHL
42,P.E.I. Senators,40,1995-96,77,82,65,27,0,AHL
36,EHC Biel-Bienne,39,1996-97,42,75,75,28,0,Swiss-2
52,EHC Biel-Bienne,44,1997-98,40,96,60,29,0,Swiss-2
28,EHC Biel-Bienne,51,1998-99,40,79,100,30,0,Swiss-2
37,HC Geneve-Servette,27,1999-00,36,64,82,31,0,Swiss-2
43,HC Geneve-Servette,31,2000-01,40,74,51,32,0,Swiss-2
44,HC Ajoie,24,2001-02,35,68,65,33,0,Swiss-2
