assists,team,goals,year,games_played,points,pim,age,plus_minus,league
30,Milton Academy,20,2000-01,28,50,20,15,0,High-MA
20,Quebec Remparts,20,2001-02,70,40,24,16,-26,QMJHL
51,Quebec Remparts,33,2002-03,72,84,44,17,29,QMJHL
42,Quebec Remparts,40,2003-04,59,82,55,18,2,QMJHL
50,Quebec Remparts,35,2004-05,68,85,39,19,28,QMJHL
39,Cleveland Barons,24,2005-06,80,63,60,20,-25,AHL
30,Binghamton Senators,27,2006-07,76,57,54,21,-5,AHL
29,Binghamton Senators,22,2007-08,76,51,49,22,-13,AHL
17,Binghamton Senators,20,2008-09,59,37,26,23,-11,AHL
38,Binghamton Senators,30,2009-10,78,68,26,24,5,AHL
10,HC Lugano,9,2010-11,36,19,22,25,0,Swiss
22,Providence Bruins,19,2011-12,69,41,22,26,-12,AHL
14,Vityaz Chekhov,11,2012-13,48,25,53,27,0,KHL
