pim,team,assists,plus_minus,points,league,games_played,year,age,goals
74,Oklahoma City Barons,11,1,23,AHL,47,2013-14,26,12
2,Oklahoma City Barons,1,-3,2,AHL,6,2014-15,27,1
26,Utica Comets,8,-1,19,AHL,45,2014-15,27,11
