assists,team,goals,year,games_played,points,pim,age,plus_minus,league
13,Mannheimer ERC Jr.,27,1993-94,28,40,103,16,0,Ger-Jr.
0,Germany,0,1993-94,7,0,4,16,0,WJC-A
2,Germany,6,1993-94,5,8,18,16,0,EJC-A
12,Adler Mannheim,11,1994-95,43,23,68,17,0,Germany
3,Germany,5,1994-95,7,8,18,17,0,WJC-A
3,Germany,3,1994-95,5,6,18,17,0,EJC-A
16,Adler Mannheim,12,1995-96,44,28,68,18,0,Germany
4,Germany,1,1995-96,6,5,18,18,0,WJC-A
2,Germany,1,1995-96,6,3,8,18,0,WC-A
0,Germany,1,1996-97,4,1,2,19,0,W-Cup
21,Adler Mannheim,21,1996-97,46,42,36,19,0,Germany
2,Germany,0,1996-97,6,2,4,19,0,WJC-A
0,Germany,2,1996-97,8,2,6,19,0,WC-A
19,Adler Mannheim,7,1997-98,44,26,42,20,0,Germany
4,Adler Mannheim,0,1997-98,5,4,8,20,0,EuroHL
0,Germany,1,1997-98,4,1,6,20,0,Olympics
1,Germany,1,1997-98,6,2,2,20,0,WC-A
35,Worcester IceCats,21,1998-99,74,56,48,21,-2,AHL
1,Germany,1,2001-02,4,2,2,24,-8,Olympics
0,Germany,3,2003-04,6,3,4,26,-2,WC-A
0,Germany,1,2004-05,4,1,2,27,-2,W-Cup
34,Adler Mannheim,16,2004-05,48,50,151,27,0,Germany
1,Germany,3,2004-05,6,4,6,27,0,WC-A
0,Germany,1,2008-09,6,1,4,31,0,WC-A
1,Germany,0,2009-10,4,1,2,32,-2,Olympics
8,Adler Mannheim,5,2012-13,6,13,8,35,0,Germany
