shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
0.0,0,1998-99,0,0,40,0,0,0,4,0,0,-2,0,STL,0,0,0,21,0,NHL,0,0,13:16,0,3,0,0,[],0
9.3,0,1999-00,28,15,971,0,0,0,140,6,8,20,21,STL,13,0,0,22,1,NHL,0,0,15:25,0,63,0,34,"[{'link': '/awards/voting-2000.html#calder', 'name': 'Calder-12'}]",5
9.1,0,2000-01,48,18,1291,0,0,0,208,7,8,11,25,STL,19,0,0,23,1,NHL,3,0,17:56,0,72,0,44,[],8
7.6,0,2001-02,60,20,1230,0,0,0,211,4,11,4,24,EDM,16,0,0,24,3,NHL,0,0,15:00,0,82,0,40,[],5
6.9,0,2002-03,30,10,878,1,0,0,145,5,8,4,16,BUF,10,0,0,25,2,NHL,0,0,17:55,0,49,0,26,[],2
8.6,0,2003-04,49,24,1216,0,0,0,174,13,12,17,37,BUF,15,0,0,26,0,NHL,1,0,19:00,0,64,0,52,"[{'link': '/awards/voting-2004.html#selke', 'name': 'Selke-20'}]",2
10.1,0,2005-06,34,19,1160,1,0,0,179,4,12,10,24,BUF,18,0,0,28,4,NHL,2,0,18:07,0,64,0,42,[],4
9.6,0,2006-07,39,30,1432,1,0,0,197,6,16,19,37,BUF,19,0,0,29,1,NHL,0,0,18:51,0,76,0,56,"[{'link': '/awards/voting-2007.html#selke', 'name': 'Selke-23'}]",3
9.6,518,2007-08,38,23,1449,0,40,362,229,4,18,1,27,BUF,22,35,42.2,30,2,NHL,1,39,19:19,45,75,378,49,"[{'link': '/awards/voting-2008.html#byng', 'name': 'Byng-60'}]",3
6.9,303,2008-09,33,11,1218,2,37,261,173,2,8,-9,15,BUF,12,30,43.7,31,1,NHL,1,38,17:24,29,70,235,27,[],3
9.4,172,2009-10,35,21,1358,0,47,340,224,0,18,14,21,BUF,21,43,45.4,32,2,NHL,0,43,17:11,44,79,143,42,"[{'link': '/awards/voting-2010.html#selke', 'name': 'Selke-36'}]",3
7.0,415,2010-11,40,15,1144,0,26,277,172,2,12,4,17,BUF,12,33,43.1,33,4,NHL,0,26,17:05,32,67,314,29,[],0
10.0,164,2011-12,6,4,370,0,14,69,40,0,3,1,4,BUF,4,11,45.3,34,0,NHL,1,9,16:50,14,22,136,8,[],0
7.2,206,2012-13,18,9,644,0,13,107,69,0,4,6,9,BUF,5,22,41.6,35,1,NHL,1,27,13:42,24,47,147,14,[],0
