pim,team,assists,plus_minus,points,league,games_played,year,age,goals
11,Victoria Salsa,6,0,13,BCHL,28,1999-00,16,7
50,Victoria Salsa,38,0,65,BCHL,59,2000-01,17,27
125,Victoria Salsa,43,0,85,BCHL,57,2001-02,18,42
110,Victoria Salsa,53,0,99,BCHL,52,2002-03,19,46
170,Victoria Salsa,53,0,115,BCHL,59,2003-04,20,62
31,U. of Alaska Fairbanks,20,0,32,CCHA,37,2004-05,21,12
58,U. of Alaska Fairbanks,19,0,27,CCHA,39,2005-06,22,8
78,U. of Alaska Fairbanks,21,0,42,CCHA,39,2006-07,23,21
2,Philadelphia Phantoms,0,1,2,AHL,8,2006-07,23,2
83,Philadelphia Phantoms,24,-7,48,AHL,72,2007-08,24,24
63,Quad City Flames,37,-4,76,AHL,79,2008-09,25,39
57,Rockford IceHogs,20,10,45,AHL,64,2009-10,26,25
110,Hershey Bears,33,20,63,AHL,74,2010-11,27,30
50,Hershey Bears,23,-10,34,AHL,50,2011-12,28,11
95,KHL Medvescak Zagreb (CRO),30,6,54,Austria,51,2012-13,29,24
