goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,won,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
45,9.60,0,1984-85,8,,281,0,0,0,141,149,0,NYI,0,0,0,0,24,NHL,0,0,5,0,1,3
0,0,0,1985-86,6,,120,0,4,0,53,59,0,NYI,0,0,0,3.00,25,NHL,.898,0,2,0,0,2
81,9.08,0,1986-87,38,,842,0,0,0,426,464,0,NYI,0,0,0,2.71,26,NHL,.918,0,14,0,7,7
114,-2.85,0,1987-88,23,,381,0,2,0,131,154,0,NYI,0,0,0,3.62,27,NHL,.851,0,6,0,2,4
112,-3.78,0,1988-89,35,,566,0,0,0,258,293,0,LAK,0,0,0,3.71,28,NHL,.881,0,10,0,4,6
133,-9.77,0,1989-90,39,,539,0,0,0,226,265,1,LAK,0,0,0,4.34,29,NHL,.853,0,9,1,4,4
93,2.86,0,1990-91,37,,798,0,2,0,345,382,0,LAK,0,0,0,2.78,30,NHL,.903,0,12,0,6,6
119,-3.44,0,1991-92,22,,355,0,0,0,157,179,0,LAK,0,0,0,3.72,31,NHL,.877,0,6,0,2,4
108,-5.63,0,1992-93,0,,1261,0,2,0,582,0,0,LAK,0,0,0,3.52,32,NHL,.887,0,20,0,10,0
0,0,0,1997-98,1,,20,0,0,0,5,6,0,SJS,0,0,0,3.00,37,NHL,.833,0,1,0,0,0
