goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,2.2,0,0,1983-84,[],28,535,0,0,0,261,289,0,NYI,0,0,0,3.14,23,NHL,.903,0,12,0,7,2
91,7.6,13.77,0,1984-85,"[{'link': '/awards/voting-1985.html#calder', 'name': 'Calder-14'}]",141,2335,3,17,0,1093,1234,1,NYI,2,0,0,3.62,24,NHL,.886,0,41,1,19,17
75,11.0,0,0,1985-86,"[{'link': '/awards/voting-1986.html#AS', 'name': 'AS-10'}, {'link': '/awards/voting-1986.html#vezina', 'name': 'Vezina-5'}]",137,2563,8,14,0,1318,1455,3,NYI,1,0,0,3.21,25,NHL,.906,0,45,3,19,15
99,6.7,1.23,0,1986-87,"[{'link': '/awards/voting-1987.html#vezina', 'name': 'Vezina-11'}]",145,2634,7,37,0,1074,1219,1,NYI,0,0,0,3.30,26,NHL,.881,0,46,1,21,15
87,9.7,23.28,0,1987-88,"[{'link': '/awards/voting-1988.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1988.html#vezina', 'name': 'Vezina-3'}]",153,2751,5,20,0,1314,1467,2,NYI,3,0,0,3.34,27,NHL,.896,0,47,2,22,17
98,10.8,4.92,0,1988-89,"[{'link': '/awards/voting-1989.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-1989.html#vezina', 'name': 'Vezina-11'}]",0,0,5,19,0,0,0,3,TOT,1,0,0,3.66,28,NHL,.882,0,0,3,28,28
104,7.3,-7.29,0,1988-89,"[{'link': '/awards/voting-1989.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-1989.html#vezina', 'name': 'Vezina-11'}]",183,2800,3,17,0,1274,1457,1,NYI,0,0,0,3.92,28,NHL,.874,0,50,1,18,24
79,3.6,12.21,0,1988-89,"[{'link': '/awards/voting-1989.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-1989.html#vezina', 'name': 'Vezina-11'}]",47,974,2,2,0,444,491,2,LAK,1,0,0,2.90,28,NHL,.904,0,16,2,10,4
107,7.3,-11.90,0,1989-90,[],194,2860,6,18,0,1338,1532,0,LAK,2,0,0,4.07,29,NHL,.873,0,52,0,22,21
88,8.8,18.57,0,1990-91,"[{'link': '/awards/voting-1991.html#AS', 'name': 'AS-6'}, {'link': '/awards/voting-1991.html#vezina', 'name': 'Vezina-4'}]",132,2730,6,14,0,1189,1321,0,LAK,3,0,0,2.90,30,NHL,.900,0,47,0,26,13
92,11.7,17.29,0,1991-92,"[{'link': '/awards/voting-1992.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-1992.html#vezina', 'name': 'Vezina-7'}]",197,3509,0,12,0,1719,1916,1,LAK,1,0,0,3.37,31,NHL,.897,0,60,1,26,17
98,8.5,3.61,0,1992-93,[],175,2718,6,10,0,1377,1552,4,LAK,2,0,0,3.86,32,NHL,.887,0,50,4,18,21
98,12.4,4.83,0,1993-94,"[{'link': '/awards/voting-1994.html#AS', 'name': 'AS-8'}]",228,3713,7,6,0,1991,2219,1,LAK,1,0,0,3.68,33,NHL,.897,0,64,1,22,31
91,7.1,10.26,0,1994-95,"[{'link': '/awards/voting-1995.html#vezina', 'name': 'Vezina-11'}]",99,1894,5,0,0,1000,1099,0,LAK,0,0,0,3.14,34,NHL,.910,0,35,0,14,13
92,7.5,10.32,0,1995-96,[],113,2077,10,4,0,1101,1214,0,LAK,0,0,0,3.26,35,NHL,.907,0,36,0,7,15
116,5.0,-19.67,0,1996-97,[],140,2631,5,0,0,1123,1263,0,SJS,0,0,0,3.19,36,NHL,.889,0,48,0,16,24
110,2.9,-5.74,0,1997-98,[],62,1360,2,2,0,538,600,0,SJS,1,0,0,2.74,37,NHL,.897,0,28,0,4,16
