even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,1,CBH,1,2,20,0,,NHL,0,0,,1958-59,6,0,,0,2,0
0,0,CBH,1,2,21,0,,NHL,0,5,,1959-60,3,20.0,,0,1,-1
0,10,CBH,4,4,22,0,,NHL,0,0,,1960-61,0,8.3,SC,0,14,10
0,6,CBH,0,12,23,0,,NHL,0,0,,1961-62,0,10.4,,0,14,-3
0,2,CBH,0,4,24,0,,NHL,0,28,,1962-63,5,0,,0,10,-2
0,5,CBH,2,2,25,0,,NHL,0,34,,1963-64,7,5.9,,0,7,0
0,7,CBH,0,27,26,0,,NHL,0,0,,1964-65,0,17.2,,0,0,4
0,2,CBH,2,10,27,0,,NHL,0,24,,1965-66,6,8.3,,0,4,-3
0,2,CBH,4,0,28,0,,NHL,0,40,,1966-67,6,10.0,,0,6,1
2,6,CBH,4,15,29,1,,NHL,1,53,,1967-68,11,7.5,,1,10,2
3,8,CBH,3,2,31,0,,NHL,0,26,,1969-70,8,11.5,,0,11,2
5,14,CBH,11,16,32,0,,NHL,0,0,,1970-71,18,12.0,,0,25,9
3,4,CBH,4,6,33,0,,NHL,1,43,,1971-72,8,9.3,,0,8,2
7,16,WNJ,9,16,34,3,,WHA,0,0,,1972-73,14,0,,2,25,0
0,1,WNJ,1,4,35,0,,WHA,0,0,,1973-74,4,0,,0,2,0
0,8,WNJ,12,4,37,0,,WHA,0,0,,1975-76,13,0,,0,20,15
0,9,WNJ,13,2,38,2,,WHA,0,0,,1976-77,20,0,,0,22,6
0,3,WNJ,8,12,39,2,,WHA,0,0,,1977-78,9,0,,0,11,5
0,0,HAR,0,0,41,0,,NHL,0,3,,1979-80,3,0.0,,0,0,-5
