shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0.0,1987-88,0,0,,0,1,0,0,-1,0,BOS,0,19,0,NHL,0,,1,0,[],0
12.1,1988-89,84,11,,1,132,12,11,4,24,BOS,16,20,0,NHL,0,,56,40,"[{'link': '/awards/voting-1989.html#calder', 'name': 'Calder-7'}]",5
8.7,1989-90,76,23,,0,127,4,9,12,27,BOS,11,21,1,NHL,0,,77,38,[],2
0.0,1990-91,6,0,,0,9,1,0,-2,1,EDM,0,22,0,NHL,0,,6,1,[],0
8.3,1991-92,22,8,,1,24,2,2,19,11,EDM,2,23,0,NHL,0,,20,13,[],0
8.0,1992-93,74,18,,0,138,17,4,-8,35,TOT,11,24,1,NHL,0,,69,46,[],7
10.6,1992-93,35,10,,0,47,3,3,-1,13,EDM,5,24,0,NHL,0,,29,18,[],2
6.6,1992-93,39,8,,0,91,14,1,-7,22,PHI,6,24,1,NHL,0,,40,28,[],5
5.4,1993-94,36,8,,0,112,20,2,9,28,TOT,6,25,2,NHL,0,,64,34,[],4
8.1,1993-94,19,4,,0,37,8,0,2,12,PHI,3,25,0,NHL,0,,19,15,[],3
3.6,1993-94,9,3,,0,55,11,2,8,14,FLA,2,25,1,NHL,0,,33,16,[],0
5.0,1993-94,8,1,,0,20,1,0,-1,2,PIT,1,25,1,NHL,0,,12,3,[],1
5.9,1994-95,25,3,,0,17,1,0,2,4,PIT,1,26,0,NHL,0,,21,5,[],1
7.2,1996-97,69,3,,0,83,9,3,-22,12,SJS,6,28,0,NHL,0,,63,18,[],3
7.1,1999-00,26,12,1358,0,70,5,3,5,17,VAN,5,31,0,NHL,0,17:11,79,22,[],2
12.5,2000-01,6,2,239,0,16,3,1,8,5,VAN,2,32,1,NHL,0,14:55,16,7,[],1
0.0,2001-02,2,0,13,0,1,0,0,0,0,DAL,0,33,0,NHL,0,6:21,2,0,[],0
