goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0,0,WHA,46,BRB,2511,19,0,100,3,158,0,-0.52,0,1,0,3,0,0,0,.880,1978-79,1322,3.78,22,[],1164
4.2,0,NHL,25,ATF,1368,20,9,0,0,73,0,0,2,2,11,0,0,0,0,0,1979-80,0,3.20,0,[],0
6.4,0,NHL,42,CGY,2411,21,16,0,1,154,0,0,4,0,21,1,0,0,0,0,1980-81,0,3.83,7,[],0
7.0,0,NHL,52,CGY,2934,22,19,0,5,207,0,0,11,2,19,5,0,0,0,0,1981-82,0,4.23,4,[],0
7.1,0,NHL,38,WSH,2161,23,9,0,0,121,0,0,9,0,16,0,0,0,0,0,1982-83,0,3.36,4,[],0
6.0,0,NHL,41,WSH,2299,24,14,87,0,102,0,14.90,2,0,21,0,0,0,0,.890,1983-84,924,0,4,"[{'link': '/awards/nhl_all_star.html#1984', 'name': None}, {'link': '/awards/jennings.html#1984', 'name': None}, {'link': '/awards/voting-1984.html#vezina', 'name': 'Vezina-3'}]",822
9.2,0,NHL,57,WSH,3388,25,20,91,1,168,0,17.38,7,2,28,1,0,0,0,.886,1984-85,1478,2.98,2,"[{'link': '/awards/voting-1985.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-1985.html#vezina', 'name': 'Vezina-4'}]",1310
5.1,0,NHL,46,TOT,2641,26,14,108,0,150,0,-10.95,0,1,19,0,0,0,0,.864,1985-86,1106,3.41,6,[],956
0.3,0,NHL,7,WSH,369,26,3,0,0,23,0,0,1,0,2,0,0,0,0,.827,1985-86,133,3.74,2,[],110
4.8,0,NHL,39,BOS,2272,26,11,104,0,127,0,-4.67,8,1,17,0,0,0,0,.869,1985-86,973,3.35,4,[],846
3.8,0,NHL,27,TOT,1501,27,11,100,1,84,0,0.09,4,0,11,1,0,0,0,.880,1986-87,701,3.36,2,[],617
1.2,0,NHL,10,BOS,513,27,5,0,0,29,0,0,1,0,3,0,0,0,0,.877,1986-87,236,3.39,0,[],207
2.6,0,NHL,17,PIT,988,27,6,99,1,55,0,0.78,3,0,8,1,0,0,0,.882,1986-87,465,3.34,2,[],410
2.6,0,NHL,22,PIT,1169,28,8,109,0,76,0,-6.30,4,0,7,0,0,0,0,.869,1987-88,580,3.90,12,[],504
