goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
2.7,0,NHL,20,PIT,1032,24,10,0,0,56,0,0,1,0,7,0,0,0,0,0,1973-74,0,3.26,0,[],0
9.8,0,NHL,57,PIT,3122,25,18,0,2,161,0,0,10,2,24,2,0,0,0,0,1974-75,0,3.09,2,[],0
2.8,0,NHL,25,TOT,1332,26,9,0,0,85,0,0,2,0,10,0,0,0,0,0,1975-76,0,3.83,2,[],0
2.1,0,NHL,23,PIT,1212,26,9,0,0,82,0,0,2,0,8,0,0,0,0,0,1975-76,0,4.06,2,[],0
0.6,0,NHL,2,PHI,120,26,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1975-76,0,1.50,0,[],0
0.8,0,NHL,6,PHI,210,27,0,0,1,9,0,0,2,0,1,1,0,0,0,0,1976-77,0,2.57,0,[],0
0,0,WHA,52,INR,2850,28,0,104,0,200,0,-8.41,0,0,0,0,0,0,0,.870,1977-78,1543,4.21,42,[],1343
0,0,WHA,10,INR,609,29,0,116,0,51,0,-7.04,0,0,0,0,0,0,0,.862,1978-79,369,5.02,9,[],318
5.0,0,NHL,37,WSH,2107,29,14,0,2,130,0,0,8,0,14,2,0,0,0,0,1978-79,0,3.70,6,[],0
1.8,0,NHL,14,WSH,727,30,9,0,0,44,0,0,2,0,2,0,0,0,0,0,1979-80,0,3.63,2,[],0
0.7,0,NHL,3,WSH,180,31,1,0,0,9,0,0,2,0,0,0,0,0,0,0,1980-81,0,3.00,0,[],0
