points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/blashje99c.html', 'name': 'J. Blashill'}]",NHL,DET,2017-18,0,0,0,Detroit Red Wings,0,,0,0,
79,"[{'link': '/coaches/blashje99c.html', 'name': 'J. Blashill'}]",NHL,DET,2016-17,33,36,13,Detroit Red Wings,.482,,0,82,7th
93,"[{'link': '/coaches/blashje99c.html', 'name': 'J. Blashill'}]",NHL,DET,2015-16,41,30,11,Detroit Red Wings,.567,Lost NHL First Round,0,82,3rd
100,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,DET,2014-15,43,25,14,Detroit Red Wings,.610,Lost NHL First Round,0,82,3rd
93,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,DET,2013-14,39,28,15,Detroit Red Wings,.567,Lost NHL First Round,0,82,4th
56,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,DET,2012-13,24,16,8,Detroit Red Wings,.583,Lost NHL Conference Semi-Finals,0,48,3rd
102,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,DET,2011-12,48,28,6,Detroit Red Wings,.622,Lost NHL Conference Quarter-Finals,0,82,3rd
104,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,DET,2010-11,47,25,10,Detroit Red Wings,.634,Lost NHL Conference Semi-Finals,0,82,1st
102,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,DET,2009-10,44,24,14,Detroit Red Wings,.622,Lost NHL Conference Semi-Finals,0,82,2nd
112,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,DET,2008-09,51,21,10,Detroit Red Wings,.683,Lost Stanley Cup Final,0,82,1st
115,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,DET,2007-08,54,21,7,Detroit Red Wings,.701,,0,82,1st
113,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,DET,2006-07,50,19,13,Detroit Red Wings,.689,Lost NHL Conference Finals,0,82,1st
124,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,DET,2005-06,58,16,8,Detroit Red Wings,.756,Lost NHL Conference Quarter-Finals,0,82,1st
109,"[{'link': '/coaches/lewisda02c.html', 'name': 'D. Lewis'}]",NHL,DET,2003-04,48,21,2,Detroit Red Wings,.665,Lost NHL Conference Semi-Finals,11,82,1st
110,"[{'link': '/coaches/lewisda02c.html', 'name': 'D. Lewis'}]",NHL,DET,2002-03,48,20,4,Detroit Red Wings,.671,Lost NHL Conference Quarter-Finals,10,82,1st
116,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,DET,2001-02,51,17,4,Detroit Red Wings,.707,,10,82,1st
111,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,DET,2000-01,49,20,4,Detroit Red Wings,.677,Lost NHL Conference Quarter-Finals,9,82,1st
108,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,DET,1999-00,48,22,2,Detroit Red Wings,.659,Lost NHL Conference Semi-Finals,10,82,2nd
93,"[{'link': '/coaches/lewisda02c.html', 'name': 'D. Lewis'}, {'link': '/coaches/smithba99c.html', 'name': 'B. Smith'}, {'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,DET,1998-99,43,32,0,Detroit Red Wings,.567,Lost NHL Conference Semi-Finals,7,82,1st
103,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,DET,1997-98,44,23,0,Detroit Red Wings,.628,,15,82,2nd
94,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,DET,1996-97,38,26,0,Detroit Red Wings,.573,,18,82,2nd
131,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,DET,1995-96,62,13,0,Detroit Red Wings,.799,Lost NHL Conference Finals,7,82,1st
70,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,DET,1994-95,33,11,0,Detroit Red Wings,.729,Lost Stanley Cup Final,4,48,1st
100,"[{'link': '/coaches/bowmasc99c.html', 'name': 'S. Bowman'}]",NHL,DET,1993-94,46,30,0,Detroit Red Wings,.595,Lost NHL Conference Quarter-Finals,8,84,1st
103,"[{'link': '/coaches/murrabr99c.html', 'name': 'B. Murray'}]",NHL,DET,1992-93,47,28,0,Detroit Red Wings,.613,Lost NHL Division Semi-Finals,9,84,2nd
98,"[{'link': '/coaches/murrabr99c.html', 'name': 'B. Murray'}]",NHL,DET,1991-92,43,25,0,Detroit Red Wings,.613,Lost NHL Division Finals,12,80,1st
76,"[{'link': '/coaches/murrabr99c.html', 'name': 'B. Murray'}]",NHL,DET,1990-91,34,38,0,Detroit Red Wings,.475,Lost NHL Division Semi-Finals,8,80,3rd
70,"[{'link': '/coaches/demerja99c.html', 'name': 'J. Demers'}]",NHL,DET,1989-90,28,38,0,Detroit Red Wings,.438,,14,80,5th
80,"[{'link': '/coaches/demerja99c.html', 'name': 'J. Demers'}]",NHL,DET,1988-89,34,34,0,Detroit Red Wings,.500,Lost NHL Division Semi-Finals,12,80,1st
93,"[{'link': '/coaches/demerja99c.html', 'name': 'J. Demers'}]",NHL,DET,1987-88,41,28,0,Detroit Red Wings,.581,Lost NHL Conference Finals,11,80,1st
78,"[{'link': '/coaches/demerja99c.html', 'name': 'J. Demers'}]",NHL,DET,1986-87,34,36,0,Detroit Red Wings,.488,Lost NHL Conference Finals,10,80,2nd
40,"[{'link': '/coaches/nealeha99c.html', 'name': 'H. Neale'}, {'link': '/coaches/parkbr01c.html', 'name': 'B. Park'}]",NHL,DET,1985-86,17,57,0,Detroit Red Wings,.250,,6,80,5th
66,"[{'link': '/coaches/polanni99c.html', 'name': 'N. Polano'}]",NHL,DET,1984-85,27,41,0,Detroit Red Wings,.413,Lost NHL Division Semi-Finals,12,80,3rd
69,"[{'link': '/coaches/polanni99c.html', 'name': 'N. Polano'}]",NHL,DET,1983-84,31,42,0,Detroit Red Wings,.431,Lost NHL Division Semi-Finals,7,80,3rd
57,"[{'link': '/coaches/polanni99c.html', 'name': 'N. Polano'}]",NHL,DET,1982-83,21,44,0,Detroit Red Wings,.356,,15,80,5th
54,"[{'link': '/coaches/maxnewa01c.html', 'name': 'W. Maxner'}, {'link': '/coaches/deabi01c.html', 'name': 'B. Dea'}]",NHL,DET,1981-82,21,47,0,Detroit Red Wings,.338,,12,80,6th
56,"[{'link': '/coaches/lindste01c.html', 'name': 'T. Lindsay'}, {'link': '/coaches/maxnewa01c.html', 'name': 'W. Maxner'}]",NHL,DET,1980-81,19,43,0,Detroit Red Wings,.350,,18,80,5th
63,"[{'link': '/coaches/krommbo99c.html', 'name': 'B. Kromm'}, {'link': '/coaches/lindste01c.html', 'name': 'T. Lindsay'}]",NHL,DET,1979-80,26,43,0,Detroit Red Wings,.394,,11,80,5th
62,"[{'link': '/coaches/krommbo99c.html', 'name': 'B. Kromm'}]",NHL,DET,1978-79,23,41,0,Detroit Red Wings,.388,,16,80,5th
78,"[{'link': '/coaches/krommbo99c.html', 'name': 'B. Kromm'}]",NHL,DET,1977-78,32,34,0,Detroit Red Wings,.488,Lost NHL Quarter-Finals,14,80,2nd
41,"[{'link': '/coaches/delveal01c.html', 'name': 'A. Delvecchio'}, {'link': '/coaches/wilsola01c.html', 'name': 'L. Wilson'}]",NHL,DET,1976-77,16,55,0,Detroit Red Wings,.256,,9,80,5th
62,"[{'link': '/coaches/barkldo01c.html', 'name': 'D. Barkley'}, {'link': '/coaches/delveal01c.html', 'name': 'A. Delvecchio'}]",NHL,DET,1975-76,26,44,0,Detroit Red Wings,.388,,10,80,4th
58,"[{'link': '/coaches/delveal01c.html', 'name': 'A. Delvecchio'}]",NHL,DET,1974-75,23,45,0,Detroit Red Wings,.363,,12,80,4th
68,"[{'link': '/coaches/garvite99c.html', 'name': 'T. Garvin'}, {'link': '/coaches/delveal01c.html', 'name': 'A. Delvecchio'}]",NHL,DET,1973-74,29,39,0,Detroit Red Wings,.436,,10,78,6th
86,"[{'link': '/coaches/wilsojo01c.html', 'name': 'J. Wilson'}]",NHL,DET,1972-73,37,29,0,Detroit Red Wings,.551,,12,78,5th
76,"[{'link': '/coaches/barkldo01c.html', 'name': 'D. Barkley'}, {'link': '/coaches/wilsojo01c.html', 'name': 'J. Wilson'}]",NHL,DET,1971-72,33,35,0,Detroit Red Wings,.487,,10,78,5th
55,"[{'link': '/coaches/harknne99c.html', 'name': 'N. Harkness'}, {'link': '/coaches/barkldo01c.html', 'name': 'D. Barkley'}]",NHL,DET,1970-71,22,45,0,Detroit Red Wings,.353,,11,78,7th
