playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.200,EDO,2,7,4,1,0,,1976-77,WHA,9,20,5,.556,18
0,.200,EDO,3,39,4,1,0,,1977-78,WHA,38,79,5,.494,80
0,.462,EDO,2,30,7,6,0,,1978-79,WHA,48,98,13,.613,80
0,.000,EDM,13,39,3,0,0,,1979-80,NHL,28,69,3,.431,80
0,.556,EDM,11,26,4,5,0,,1980-81,NHL,25,61,9,.492,62
0,.400,EDM,15,17,3,2,0,,1981-82,NHL,48,111,5,.694,80
0,.688,EDM,12,21,5,11,0,Clarence Campbell Conference Champions,1982-83,NHL,47,106,16,.663,80
0,.789,EDM,5,18,4,15,0,Stanley Cup Champions,1983-84,NHL,57,119,19,.744,80
0,.833,EDM,11,20,3,15,0,Stanley Cup Champions,1984-85,NHL,49,109,18,.681,80
0,.600,EDM,7,17,4,6,0,,1985-86,NHL,56,119,10,.744,80
0,.762,EDM,6,24,5,16,0,Stanley Cup Champions,1986-87,NHL,50,106,21,.663,80
1,.868,EDM,11,25,2,16,0,Stanley Cup Champions,1987-88,NHL,44,99,19,.619,80
0,.429,EDM,8,34,4,3,0,,1988-89,NHL,38,84,7,.525,80
0,0,EDM,11,27,0,0,0,,1993-94,NHL,22,55,,.458,60
0,0,NYR,4,10,0,0,3,,2002-03,NHL,11,29,,.518,28
0,0,NYR,7,29,0,0,4,,2003-04,NHL,22,55,,.444,62
