playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.333,STL,7,15,4,2,0,,1996-97,NHL,18,43,6,.538,40
0,.600,STL,8,29,4,6,0,,1997-98,NHL,45,98,10,.598,82
0,.462,STL,13,32,7,6,0,,1998-99,NHL,37,87,13,.530,82
0,.429,STL,11,19,4,3,1,,1999-00,NHL,51,114,7,.695,82
0,.600,STL,12,22,6,9,5,,2000-01,NHL,43,103,15,.628,82
0,.500,STL,8,27,5,5,4,,2001-02,NHL,43,98,10,.598,82
0,.429,STL,11,24,4,3,6,,2002-03,NHL,41,99,7,.604,82
0,0,STL,7,23,0,0,2,,2003-04,NHL,29,67,,.549,61
0,.444,COL,0,30,5,4,9,,2005-06,NHL,43,95,9,.579,82
0,0,COL,0,31,0,0,7,,2006-07,NHL,44,95,,.579,82
0,.400,COL,0,31,6,4,7,,2007-08,NHL,44,95,10,.579,82
0,.529,CHI,0,22,8,9,11,,2008-09,NHL,45,101,17,.647,78
0,.727,CHI,0,22,6,16,8,Stanley Cup Champions,2009-10,NHL,52,112,22,.683,82
0,.429,CHI,0,29,4,3,9,,2010-11,NHL,44,97,7,.591,82
0,.333,CHI,0,26,4,2,11,,2011-12,NHL,45,101,6,.616,82
0,.696,CHI,0,7,7,16,5,Stanley Cup Champions,2012-13,NHL,36,77,23,.802,48
0,.579,CHI,0,21,8,11,15,,2013-14,NHL,46,107,19,.652,82
0,.696,CHI,0,28,7,16,6,Stanley Cup Champions,2014-15,NHL,48,102,23,.622,82
0,.429,CHI,0,26,4,3,9,,2015-16,NHL,47,103,7,.628,82
0,.000,CHI,0,23,4,0,9,,2016-17,NHL,50,109,4,.665,82
0,0,CHI,0,0,0,0,0,,2017-18,NHL,0,0,0,0,0
