playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,DTC,6,19,0,0,0,,1927-28,NHL,19,44,,.500,44
0,.000,DTC,9,16,2,0,0,,1928-29,NHL,19,47,2,.534,44
0,0,DTC,6,24,0,0,0,,1929-30,NHL,14,34,,.386,44
0,0,DTF,7,21,0,0,0,,1930-31,NHL,16,39,,.443,44
1,.250,DTF,10,20,1,0,0,,1931-32,NHL,18,46,2,.479,48
0,.500,DET,8,15,2,2,0,,1932-33,NHL,25,58,4,.604,48
0,.444,DET,10,14,5,4,0,,1933-34,NHL,24,58,9,.604,48
0,0,DET,7,22,0,0,0,,1934-35,NHL,19,45,,.469,48
0,.857,DET,8,16,1,6,0,Stanley Cup Champions,1935-36,NHL,24,56,7,.583,48
0,.600,DET,9,14,4,6,0,Stanley Cup Champions,1936-37,NHL,25,59,10,.615,48
0,0,DET,11,25,0,0,0,,1937-38,NHL,12,35,,.365,48
0,.500,DET,6,24,3,3,0,,1938-39,NHL,18,42,6,.438,48
0,.400,DET,6,26,3,2,0,,1939-40,NHL,16,38,5,.396,48
0,.444,DET,11,16,5,4,0,,1940-41,NHL,21,53,9,.552,48
0,.583,DET,4,25,5,7,0,,1941-42,NHL,19,42,12,.438,48
0,.800,DET,11,14,2,8,0,Stanley Cup Champions,1942-43,NHL,25,61,10,.610,50
0,.200,DET,6,18,4,1,0,,1943-44,NHL,26,58,5,.580,50
0,.500,DET,5,14,7,7,0,,1944-45,NHL,31,67,14,.670,50
0,.200,DET,10,20,4,1,0,,1945-46,NHL,20,50,5,.500,50
0,.200,DET,11,27,4,1,0,,1946-47,NHL,22,55,5,.458,60
