playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.462,TOR,10,29,7,6,0,,1977-78,NHL,41,92,13,.575,80
0,.333,TOR,13,33,4,2,0,,1978-79,NHL,34,81,6,.506,80
0,.500,BUF,21,20,4,4,0,,1980-81,NHL,39,99,8,.619,80
0,.647,VAN,1,0,6,11,0,Clarence Campbell Conference Champions,1981-82,NHL,4,9,17,.900,5
0,.250,VAN,15,35,3,1,0,,1982-83,NHL,30,75,4,.469,80
0,0,VAN,5,26,0,0,0,,1983-84,NHL,17,39,,.406,48
0,0,LAK,3,17,0,0,0,,1983-84,NHL,8,19,,.339,28
0,.500,NYR,13,31,5,5,0,,1989-90,NHL,36,85,10,.531,80
0,.333,NYR,13,31,4,2,0,,1990-91,NHL,36,85,6,.531,80
0,.462,NYR,5,25,7,6,0,,1991-92,NHL,50,105,13,.656,80
0,0,NYR,4,17,0,0,0,,1992-93,NHL,19,42,,.525,40
0,0,FLA,17,34,0,0,0,,1993-94,NHL,33,83,,.494,84
0,0,FLA,6,22,0,0,0,,1994-95,NHL,20,46,,.479,48
0,.200,PHI,2,9,4,1,0,,1997-98,NHL,10,22,5,.524,21
0,.333,PHI,19,26,4,2,0,,1998-99,NHL,37,93,6,.567,82
0,.611,PHI,12,22,7,11,3,,1999-00,NHL,45,105,18,.640,82
0,0,OTT,0,1,0,0,0,,2001-02,NHL,1,2,,.500,2
