playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.533,WSH,2,14,7,8,0,,1989-90,NHL,18,38,15,.559,34
0,.455,WSH,7,36,6,5,0,,1990-91,NHL,37,81,11,.506,80
0,.429,WSH,8,27,4,3,0,,1991-92,NHL,45,98,7,.613,80
0,.333,WSH,7,34,4,2,0,,1992-93,NHL,43,93,6,.554,84
0,0,WSH,4,23,0,0,0,,1993-94,NHL,20,44,,.468,47
0,.667,PHI,4,16,5,10,0,,1994-95,NHL,28,60,15,.625,48
0,.500,PHI,13,24,6,6,0,,1995-96,NHL,45,103,12,.628,82
0,.632,PHI,13,24,7,12,0,Eastern Conference Champions,1996-97,NHL,45,103,19,.628,82
0,0,FLA,18,34,0,0,0,,1998-99,NHL,30,78,,.476,82
0,.000,FLA,6,27,4,0,6,,1999-00,NHL,43,98,4,.598,82
0,0,FLA,7,18,0,0,5,,2000-01,NHL,6,24,,.333,36
0,0,LAK,0,37,0,0,11,,2008-09,NHL,34,79,,.482,82
0,.333,LAK,0,27,4,2,9,,2009-10,NHL,46,101,6,.616,82
0,.333,LAK,0,30,4,2,6,,2010-11,NHL,46,98,6,.598,82
0,0,LAK,0,12,0,0,4,,2011-12,NHL,13,30,,.517,29
