playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.333,MTL,10,27,4,2,0,,1995-96,NHL,40,90,6,.584,77
0,.200,MTL,15,36,4,1,0,,1996-97,NHL,31,77,5,.470,82
