playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,MTL,6,27,0,0,6,,2000-01,NHL,23,58,,.468,62
0,.500,MTL,12,31,6,6,3,,2001-02,NHL,36,87,12,.530,82
0,0,MTL,5,19,0,0,4,,2002-03,NHL,18,45,,.489,46
0,0,PIT,0,29,0,0,8,,2005-06,NHL,14,36,,.353,51
0,.200,PIT,0,24,4,1,11,,2006-07,NHL,47,105,5,.640,82
0,.700,PIT,0,27,6,14,8,Eastern Conference Champions,2007-08,NHL,47,102,20,.622,82
0,0,PIT,0,25,0,0,5,,2008-09,NHL,27,59,,.518,57
0,.200,MTL,0,14,4,1,5,,2012-13,NHL,29,63,5,.656,48
0,.588,MTL,0,28,7,10,8,,2013-14,NHL,46,100,17,.610,82
0,.500,MTL,0,22,6,6,10,,2014-15,NHL,50,110,12,.671,82
0,0,MTL,0,38,0,0,6,,2015-16,NHL,38,82,0,.500,82
0,0,MTL,0,19,0,0,8,,2016-17,NHL,31,70,0,.603,58
