playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,MFS,0,0,0,0,0,,1973-74,WHA,2,4,,1.000,2
0,0,MFS,0,1,0,0,0,,1974-75,WHA,0,0,,.000,1
