playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.000,CHI,12,25,4,0,0,,1992-93,NHL,47,106,4,.631,84
0,.333,CHI,9,36,4,2,0,,1993-94,NHL,39,87,6,.518,84
0,.563,CHI,5,19,7,9,0,,1994-95,NHL,24,53,16,.552,48
0,.333,SJS,10,38,4,2,0,,1997-98,NHL,34,78,6,.476,82
0,.333,SJS,18,33,4,2,0,,1998-99,NHL,31,80,6,.488,82
0,.417,SJS,10,30,7,5,7,,1999-00,NHL,35,87,12,.530,82
0,.333,SJS,12,27,4,2,3,,2000-01,NHL,40,95,6,.579,82
0,.583,SJS,8,27,5,7,3,,2001-02,NHL,44,99,12,.604,82
0,0,SJS,2,12,0,0,2,,2002-03,NHL,8,20,,.417,24
0,0,CGY,8,18,0,0,1,,2002-03,NHL,19,47,,.511,46
0,.577,CGY,7,30,11,15,3,Western Conference Champions,2003-04,NHL,42,94,26,.573,82
0,.429,CGY,0,25,4,3,11,,2005-06,NHL,46,103,7,.628,82
0,.800,LAK,0,13,4,16,11,Stanley Cup Champions,2011-12,NHL,25,61,20,.622,49
0,.500,LAK,0,16,9,9,5,,2012-13,NHL,27,59,18,.615,48
0,.615,LAK,0,28,10,16,8,Stanley Cup Champions,2013-14,NHL,46,100,26,.610,82
0,0,LAK,0,27,0,0,15,,2014-15,NHL,40,95,0,.579,82
0,.200,LAK,0,28,4,1,6,,2015-16,NHL,48,102,5,.622,82
0,0,LAK,0,35,0,0,8,,2016-17,NHL,39,86,0,.524,82
