playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,MTW,0,5,0,0,0,,1917-18,NHL,1,2,,.167,6
0,0,HAM,0,18,0,0,0,,1922-23,NHL,6,12,,.250,24
0,0,BOS,0,24,0,0,0,,1924-25,NHL,6,12,,.200,30
0,0,BOS,4,15,0,0,0,,1925-26,NHL,17,38,,.528,36
4,.500,BOS,3,20,2,2,0,,1926-27,NHL,21,45,8,.511,44
1,.250,BOS,11,13,1,0,0,,1927-28,NHL,20,51,2,.580,44
0,1.000,BOS,5,13,0,5,0,Stanley Cup Champions,1928-29,NHL,26,57,5,.648,44
0,.500,BOS,1,5,3,3,0,,1929-30,NHL,38,77,6,.875,44
0,.400,BOS,6,10,3,2,0,,1930-31,NHL,28,62,5,.705,44
0,0,BOS,12,21,0,0,0,,1931-32,NHL,15,42,,.438,48
0,.400,BOS,8,15,3,2,0,,1932-33,NHL,25,58,5,.604,48
0,0,BOS,5,25,0,0,0,,1933-34,NHL,18,41,,.427,48
0,.333,BOS,7,18,2,1,0,,1936-37,NHL,23,53,3,.552,48
0,.000,BOS,7,11,3,0,0,,1937-38,NHL,30,67,3,.698,48
0,.667,BOS,2,10,4,8,0,Stanley Cup Champions,1938-39,NHL,36,74,12,.771,48
0,.400,BOS,6,17,3,2,0,,1941-42,NHL,25,56,5,.583,48
0,.444,BOS,9,17,5,4,0,,1942-43,NHL,24,57,9,.570,50
0,0,BOS,5,26,0,0,0,,1943-44,NHL,19,43,,.430,50
0,.429,BOS,4,30,4,3,0,,1944-45,NHL,16,36,7,.360,50
