playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,MDA,5,46,0,0,0,,1993-94,NHL,33,71,,.423,84
0,0,MDA,5,27,0,0,0,,1994-95,NHL,16,37,,.385,48
0,0,MDA,8,39,0,0,0,,1995-96,NHL,35,78,,.476,82
0,.364,MDA,13,33,7,4,0,,1996-97,NHL,36,85,11,.518,82
0,.571,WSH,12,30,9,12,0,Eastern Conference Champions,1997-98,NHL,40,92,21,.561,82
0,0,WSH,6,45,0,0,0,,1998-99,NHL,31,68,,.415,82
0,.200,WSH,12,24,4,1,2,,1999-00,NHL,44,102,5,.622,82
0,.333,WSH,10,27,4,2,4,,2000-01,NHL,41,96,6,.585,82
0,0,WSH,11,33,0,0,2,,2001-02,NHL,36,85,,.518,82
0,0,SJS,7,25,0,0,6,,2002-03,NHL,19,51,,.447,57
0,.588,SJS,12,21,7,10,6,,2003-04,NHL,43,104,17,.634,82
0,.545,SJS,0,27,5,6,11,,2005-06,NHL,44,99,11,.604,82
0,.545,SJS,0,26,5,6,5,,2006-07,NHL,51,107,11,.652,82
0,.462,SJS,0,23,7,6,10,,2007-08,NHL,49,108,13,.659,82
0,0,TOR,0,35,0,0,13,,2008-09,NHL,34,81,,.494,82
0,0,TOR,0,38,0,0,14,,2009-10,NHL,30,74,,.451,82
0,0,TOR,0,34,0,0,11,,2010-11,NHL,37,85,,.518,82
0,0,TOR,0,28,0,0,7,,2011-12,NHL,29,65,,.508,64
