playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.429,NYI,8,28,4,3,4,,2001-02,NHL,42,96,7,.585,82
0,.200,NYI,11,34,4,1,2,,2002-03,NHL,35,83,5,.506,82
0,0,CAR,6,22,0,0,4,,2003-04,NHL,20,50,,.481,52
0,.640,CAR,0,22,9,16,8,Stanley Cup Champions,2005-06,NHL,52,112,25,.683,82
0,0,CAR,0,34,0,0,8,,2006-07,NHL,40,88,,.537,82
0,0,CAR,0,33,0,0,6,,2007-08,NHL,43,92,,.561,82
0,0,CAR,0,11,0,0,2,,2008-09,NHL,12,26,,.520,25
0,.609,PHI,0,24,9,14,5,Eastern Conference Champions,2009-10,NHL,28,61,23,.535,57
0,.364,PHI,0,23,7,4,12,,2010-11,NHL,47,106,11,.646,82
0,.455,PHI,0,26,6,5,9,,2011-12,NHL,47,103,11,.628,82
0,0,PHI,0,22,0,0,3,,2012-13,NHL,23,49,,.510,48
0,0,PHI,0,3,0,0,0,,2013-14,NHL,0,0,,.000,3
0,.333,NSH,0,25,4,2,10,,2014-15,NHL,47,104,6,.634,82
0,.500,NSH,0,27,7,7,14,,2015-16,NHL,41,96,14,.585,82
0,.636,NSH,0,29,8,14,12,Western Conference Champions,2016-17,NHL,41,94,22,.573,82
0,0,NSH,0,0,0,0,0,,2017-18,NHL,0,0,0,0,0
