playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,LAK,11,36,0,0,0,,1972-73,NHL,31,73,,.468,78
0,.200,LAK,12,33,4,1,0,,1973-74,NHL,33,78,5,.500,78
0,.333,LAK,21,17,2,1,0,,1974-75,NHL,42,105,3,.656,80
0,.556,LAK,9,33,4,5,0,,1975-76,NHL,38,85,9,.531,80
0,.444,LAK,15,31,5,4,0,,1976-77,NHL,34,83,9,.519,80
0,.000,CBH,19,29,4,0,0,,1977-78,NHL,32,83,4,.519,80
0,.000,CBH,15,36,4,0,0,,1978-79,NHL,29,73,4,.456,80
0,.533,CBH,2,14,7,8,0,,1981-82,NHL,12,26,15,.464,28
0,.600,CBH,4,7,6,9,0,,1984-85,NHL,16,36,15,.667,27
0,.000,CBH,8,33,3,0,0,,1985-86,NHL,39,86,3,.538,80
0,.000,CHI,14,37,4,0,0,,1986-87,NHL,29,72,4,.450,80
0,0,CHI,6,24,0,0,0,,1999-00,NHL,28,62,,.534,58
