playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.563,MDA,0,27,7,9,12,,2005-06,NHL,43,98,16,.598,82
0,.762,ANA,0,20,5,16,14,Stanley Cup Champions,2006-07,NHL,48,110,21,.671,82
0,.333,ANA,0,27,4,2,8,,2007-08,NHL,47,102,6,.622,82
0,.538,ANA,0,33,6,7,7,,2008-09,NHL,42,91,13,.555,82
0,0,ANA,0,32,0,0,11,,2009-10,NHL,39,89,,.543,82
0,.333,ANA,0,30,4,2,5,,2010-11,NHL,47,99,6,.604,82
0,0,ANA,0,13,0,0,4,,2011-12,NHL,7,18,,.375,24
0,0,TOR,0,9,0,0,3,,2011-12,NHL,6,15,,.417,18
0,.429,TOR,0,17,4,3,5,,2012-13,NHL,26,57,7,.594,48
0,0,TOR,0,36,0,0,8,,2013-14,NHL,38,84,,.512,82
0,0,TOR,0,16,0,0,3,,2014-15,NHL,21,45,,.563,40
0,.588,ANA,0,23,7,10,13,,2016-17,NHL,46,105,17,.640,82
0,0,ANA,0,0,0,0,0,,2017-18,NHL,0,0,0,0,0
