playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.429,INR,6,35,4,3,0,,1975-76,WHA,34,74,7,.493,75
0,.556,INR,8,37,4,5,0,,1976-77,WHA,36,80,9,.494,81
0,0,CNS,3,39,0,0,0,,1977-78,WHA,33,69,,.460,75
0,0,QBN,5,34,4,0,0,,1978-79,WHA,41,87,4,.544,80
0,0,QUE,11,44,0,0,0,,1979-80,NHL,25,61,,.381,80
0,.545,STL,7,41,5,6,0,,1983-84,NHL,32,71,11,.444,80
0,.000,STL,12,31,3,0,0,,1984-85,NHL,37,86,3,.538,80
0,.526,STL,9,34,9,10,0,,1985-86,NHL,37,83,19,.519,80
0,.563,DET,10,36,7,9,0,,1986-87,NHL,34,78,16,.488,80
0,.563,DET,11,28,7,9,0,,1987-88,NHL,41,93,16,.581,80
0,.333,DET,12,34,4,2,0,,1988-89,NHL,34,80,6,.500,80
0,0,DET,14,38,0,0,0,,1989-90,NHL,28,70,,.438,80
0,.800,MTL,6,30,4,16,0,Stanley Cup Champions,1992-93,NHL,48,102,20,.607,84
0,.429,MTL,14,29,4,3,0,,1993-94,NHL,41,96,7,.571,84
0,0,MTL,7,23,0,0,0,,1994-95,NHL,18,43,,.448,48
0,0,MTL,0,4,0,0,0,,1995-96,NHL,0,0,,.000,4
0,0,TBL,8,42,0,0,0,,1997-98,NHL,15,38,,.292,65
0,0,TBL,9,54,0,0,0,,1998-99,NHL,19,47,,.287,82
