playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.429,LAK,10,33,4,3,0,,1967-68,NHL,31,72,7,.486,74
0,.364,LAK,10,42,7,4,0,,1968-69,NHL,24,58,11,.382,76
0,.600,PIT,12,38,4,6,0,,1969-70,NHL,26,64,10,.421,76
0,0,PIT,20,37,0,0,0,,1970-71,NHL,21,62,,.397,78
0,.000,PIT,14,38,4,0,0,,1971-72,NHL,26,66,4,.423,78
0,0,PIT,6,19,0,0,0,,1972-73,NHL,17,40,,.476,42
0,.000,TOR,16,27,4,0,0,,1973-74,NHL,35,86,4,.551,78
0,.286,TOR,16,33,5,2,0,,1974-75,NHL,31,78,7,.488,80
0,.500,TOR,15,31,5,5,0,,1975-76,NHL,34,83,10,.519,80
0,.444,TOR,15,32,5,4,0,,1976-77,NHL,33,81,9,.506,80
