playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,CAR,0,41,0,0,11,,2014-15,NHL,30,71,0,.433,82
0,0,CAR,0,31,0,0,16,,2015-16,NHL,35,86,0,.524,82
0,0,CAR,0,31,0,0,15,,2016-17,NHL,36,87,0,.530,82
0,0,CAR,0,0,0,0,0,,2017-18,NHL,0,0,0,0,0
