playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
1,.250,NYR,6,13,1,0,0,,1926-27,NHL,25,56,2,.636,44
1,.611,NYR,9,16,3,5,0,Stanley Cup Champions,1927-28,NHL,19,47,9,.534,44
1,.583,NYR,10,13,2,3,0,,1928-29,NHL,21,52,6,.591,44
1,.375,NYR,10,17,2,1,0,,1929-30,NHL,17,44,4,.500,44
0,.500,NYR,9,16,2,2,0,,1930-31,NHL,19,47,4,.534,44
0,.429,NYR,8,17,4,3,0,,1931-32,NHL,23,54,7,.563,48
1,.813,NYR,8,17,1,6,0,Stanley Cup Champions,1932-33,NHL,23,54,8,.563,48
1,.250,NYR,8,19,1,0,0,,1933-34,NHL,21,50,2,.521,48
1,.625,NYR,6,20,1,2,0,,1934-35,NHL,22,50,4,.521,48
0,0,NYR,12,17,0,0,0,,1935-36,NHL,19,50,,.521,48
0,.667,NYR,9,20,3,6,0,,1936-37,NHL,19,47,9,.490,48
0,.333,NYR,6,15,2,1,0,,1937-38,NHL,27,60,3,.625,48
0,.429,NYR,6,16,4,3,0,,1938-39,NHL,26,58,7,.604,48
