playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.400,MTL,13,32,6,4,0,,1997-98,NHL,37,87,10,.530,82
0,0,MTL,11,39,0,0,0,,1998-99,NHL,32,75,,.457,82
0,0,MTL,9,34,0,0,4,,1999-00,NHL,35,83,,.506,82
0,0,MTL,2,13,0,0,0,,2000-01,NHL,5,12,,.300,20
0,.417,VAN,0,26,7,5,7,,2006-07,NHL,49,105,12,.640,82
0,0,VAN,0,33,0,0,10,,2007-08,NHL,39,88,,.537,82
0,.600,VAN,0,27,4,6,10,,2008-09,NHL,45,100,10,.610,82
0,.500,VAN,0,28,6,6,5,,2009-10,NHL,49,103,12,.628,82
0,.600,VAN,0,19,10,15,9,Western Conference Champions,2010-11,NHL,54,117,25,.713,82
0,.200,VAN,0,22,4,1,9,,2011-12,NHL,51,111,5,.677,82
0,.000,VAN,0,15,4,0,7,,2012-13,NHL,26,59,4,.615,48
0,.520,NYR,0,31,12,13,6,Eastern Conference Champions,2013-14,NHL,45,96,25,.585,82
0,.579,NYR,0,22,8,11,7,,2014-15,NHL,53,113,19,.689,82
0,.200,NYR,0,27,4,1,9,,2015-16,NHL,46,101,5,.616,82
0,.500,NYR,0,28,6,6,6,,2016-17,NHL,48,102,12,.622,82
0,0,NYR,0,0,0,0,0,,2017-18,NHL,0,0,0,0,0
