playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.333,QUE,5,13,4,2,0,,1994-95,NHL,30,65,6,.677,48
0,.727,COL,10,25,6,16,0,Stanley Cup Champions,1995-96,NHL,47,104,22,.634,82
0,.588,COL,9,24,7,10,0,,1996-97,NHL,49,107,17,.652,82
0,.429,COL,17,26,4,3,0,,1997-98,NHL,39,95,7,.579,82
0,0,VAN,6,23,0,0,0,,1998-99,NHL,8,22,,.297,37
0,.000,VAN,15,29,4,0,8,,1999-00,NHL,30,83,4,.506,82
0,0,VAN,11,28,0,0,7,,2000-01,NHL,36,90,,.549,82
0,.333,VAN,7,30,4,2,3,,2001-02,NHL,42,94,6,.573,82
0,.500,VAN,13,23,7,7,1,,2002-03,NHL,45,104,14,.634,82
0,.429,VAN,10,24,4,3,5,,2003-04,NHL,43,101,7,.616,82
0,0,VAN,0,32,0,0,8,,2005-06,NHL,42,92,,.561,82
0,0,LAK,0,41,0,0,14,,2006-07,NHL,27,68,,.415,82
0,0,LAK,0,43,0,0,7,,2007-08,NHL,32,71,,.433,82
0,0,DAL,0,31,0,0,14,,2009-10,NHL,37,88,,.537,82
0,0,DAL,0,29,0,0,11,,2010-11,NHL,42,95,,.579,82
