playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,MTL,3,16,0,0,5,,2002-03,NHL,12,32,,.444,36
0,.364,MTL,7,30,7,4,4,,2003-04,NHL,41,93,11,.567,82
0,0,MTL,0,16,0,0,6,,2005-06,NHL,19,44,,.537,41
0,0,NJD,0,24,0,0,8,,2006-07,NHL,47,102,,.646,79
0,.429,BOS,0,29,4,3,12,,2007-08,NHL,41,94,7,.573,82
0,.636,BOS,0,19,4,7,10,,2008-09,NHL,53,116,11,.707,82
0,.538,BOS,0,30,6,7,13,,2009-10,NHL,39,91,13,.555,82
0,.640,BOS,0,25,9,16,11,Stanley Cup Champions,2010-11,NHL,46,103,25,.628,82
0,.429,BOS,0,29,4,3,4,,2011-12,NHL,49,102,7,.622,82
0,.609,BOS,0,14,8,14,6,Eastern Conference Champions,2012-13,NHL,28,62,23,.646,48
0,.583,BOS,0,19,5,7,9,,2013-14,NHL,54,117,12,.713,82
0,0,BOS,0,27,0,0,14,,2014-15,NHL,41,96,0,.585,82
0,0,BOS,0,31,0,0,9,,2015-16,NHL,42,93,0,.567,82
0,0,BOS,0,23,0,0,6,,2016-17,NHL,26,58,0,.527,55
0,.333,MTL,0,7,4,2,1,,2016-17,NHL,16,33,6,.688,24
0,0,MTL,0,0,0,0,0,,2017-18,NHL,0,0,0,0,0
