playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.667,BUF,17,29,5,10,0,,1997-98,NHL,36,89,15,.543,82
0,.667,BUF,17,28,7,14,0,Eastern Conference Champions,1998-99,NHL,37,91,21,.555,82
0,.200,BUF,11,32,4,1,4,,1999-00,NHL,35,85,5,.518,82
0,.538,BUF,5,30,6,7,1,,2000-01,NHL,46,98,13,.598,82
0,0,BUF,11,35,0,0,1,,2001-02,NHL,35,82,,.500,82
0,0,BUF,10,37,0,0,8,,2002-03,NHL,27,72,,.439,82
0,0,BUF,7,34,0,0,4,,2003-04,NHL,37,85,,.518,82
0,.611,BUF,0,24,7,11,6,,2005-06,NHL,52,110,18,.671,82
0,.563,BUF,0,22,7,9,7,,2006-07,NHL,53,113,16,.689,82
0,0,BUF,0,31,0,0,12,,2007-08,NHL,39,90,,.549,82
0,0,BUF,0,32,0,0,9,,2008-09,NHL,41,91,,.555,82
0,.333,BUF,0,27,4,2,10,,2009-10,NHL,45,100,6,.610,82
0,.429,BUF,0,29,4,3,10,,2010-11,NHL,43,96,7,.585,82
0,0,BUF,0,32,0,0,11,,2011-12,NHL,39,89,,.543,82
0,0,BUF,0,10,0,0,1,,2012-13,NHL,6,13,,.382,17
0,.333,DAL,0,31,4,2,11,,2013-14,NHL,40,91,6,.555,82
0,0,DAL,0,31,0,0,10,,2014-15,NHL,41,92,0,.561,82
0,.538,DAL,0,23,6,7,9,,2015-16,NHL,50,109,13,.665,82
0,0,DAL,0,37,0,0,11,,2016-17,NHL,34,79,0,.482,82
