playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,NYR,1,3,0,0,0,,1999-00,NHL,0,1,,.125,4
0,0,TBL,1,27,0,0,3,,2000-01,NHL,12,28,,.326,43
0,0,TBL,11,40,0,0,4,,2001-02,NHL,27,69,,.421,82
0,.455,TBL,16,25,6,5,5,,2002-03,NHL,36,93,11,.567,82
0,.696,TBL,8,22,7,16,6,Stanley Cup Champions,2003-04,NHL,46,106,23,.646,82
0,.200,TBL,0,33,4,1,6,,2005-06,NHL,43,92,5,.561,82
0,.333,TBL,0,33,4,2,5,,2006-07,NHL,44,93,6,.567,82
0,0,TBL,0,42,0,0,9,,2007-08,NHL,31,71,,.433,82
0,.429,NYR,0,7,4,3,2,,2008-09,NHL,12,26,7,.619,21
0,0,NYR,0,33,0,0,11,,2009-10,NHL,38,87,,.530,82
0,.200,NYR,0,33,4,1,5,,2010-11,NHL,44,93,5,.567,82
0,.500,NYR,0,24,10,10,7,,2011-12,NHL,51,109,20,.665,82
0,.417,NYR,0,18,7,5,4,,2012-13,NHL,26,56,12,.583,48
0,0,VAN,0,35,0,0,11,,2013-14,NHL,36,83,,.506,82
0,0,CBJ,0,33,0,0,8,,2015-16,NHL,34,76,0,.507,75
0,.200,CBJ,0,24,4,1,8,,2016-17,NHL,50,108,5,.659,82
0,0,CBJ,0,0,0,0,0,,2017-18,NHL,0,0,0,0,0
