playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,WSH,13,28,0,0,0,,1981-82,NHL,25,63,,.477,66
0,.250,WSH,16,25,3,1,0,,1982-83,NHL,39,94,4,.588,80
0,.500,WSH,5,27,4,4,0,,1983-84,NHL,48,101,8,.631,80
0,.400,WSH,9,25,3,2,0,,1984-85,NHL,46,101,5,.631,80
0,.556,WSH,7,23,4,5,0,,1985-86,NHL,50,107,9,.669,80
0,.429,WSH,10,32,4,3,0,,1986-87,NHL,38,86,7,.538,80
0,.500,WSH,9,33,7,7,0,,1987-88,NHL,38,85,14,.531,80
0,.333,WSH,10,29,4,2,0,,1988-89,NHL,41,92,6,.575,80
0,0,WSH,4,24,0,0,0,,1989-90,NHL,18,40,,.435,46
0,.429,DET,8,38,4,3,0,,1990-91,NHL,34,76,7,.475,80
0,.364,DET,12,25,7,4,0,,1991-92,NHL,43,98,11,.613,80
0,.429,DET,9,28,4,3,0,,1992-93,NHL,47,103,7,.613,84
0,0,FLA,11,31,0,0,0,,1997-98,NHL,17,45,,.381,59
0,0,MDA,8,42,0,0,3,,2001-02,NHL,29,69,,.421,82
0,.500,OTT,0,21,5,5,9,,2005-06,NHL,52,113,10,.689,82
0,.650,OTT,0,25,7,13,9,Eastern Conference Champions,2006-07,NHL,48,105,20,.640,82
0,.000,OTT,0,9,4,0,2,,2007-08,NHL,7,16,4,.444,18
