playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,HAR,8,33,0,0,0,,1995-96,NHL,29,66,,.471,70
0,0,HAR,11,39,0,0,0,,1996-97,NHL,32,75,,.457,82
0,0,CAR,8,41,0,0,0,,1997-98,NHL,33,74,,.451,82
0,.333,CAR,18,30,4,2,0,,1998-99,NHL,34,86,6,.524,82
0,0,CAR,10,35,0,0,0,,1999-00,NHL,37,84,,.512,82
0,.333,CAR,9,32,4,2,3,,2000-01,NHL,38,88,6,.537,82
0,.565,CAR,16,26,10,13,5,Eastern Conference Champions,2001-02,NHL,35,91,23,.555,82
0,0,CAR,11,43,0,0,6,,2002-03,NHL,22,61,,.372,82
0,0,CAR,8,12,0,0,2,,2003-04,NHL,8,26,,.433,30
0,0,TOR,0,31,0,0,11,,2006-07,NHL,40,91,,.555,82
0,0,TOR,0,35,0,0,11,,2007-08,NHL,36,83,,.506,82
0,.444,CAR,0,19,10,8,5,,2008-09,NHL,33,71,18,.623,57
0,0,CAR,0,37,0,0,10,,2009-10,NHL,35,80,,.488,82
0,0,CAR,0,31,0,0,11,,2010-11,NHL,40,91,,.555,82
0,0,CAR,0,13,0,0,4,,2011-12,NHL,8,20,,.400,25
0,0,WPG,0,12,0,0,5,,2013-14,NHL,18,41,,.586,35
0,.000,WPG,0,26,4,0,13,,2014-15,NHL,43,99,4,.604,82
0,0,WPG,0,39,0,0,8,,2015-16,NHL,35,78,0,.476,82
0,0,WPG,0,35,0,0,7,,2016-17,NHL,40,87,0,.530,82
0,0,WPG,0,0,0,0,0,,2017-18,NHL,0,0,0,0,0
