playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,FLA,0,30,0,0,11,,2008-09,NHL,41,93,,.567,82
0,0,FLA,0,37,0,0,13,,2009-10,NHL,32,77,,.470,82
0,0,FLA,0,40,0,0,12,,2010-11,NHL,30,72,,.439,82
0,.583,NJD,0,28,10,14,6,Eastern Conference Champions,2011-12,NHL,48,102,24,.622,82
0,0,NJD,0,19,0,0,10,,2012-13,NHL,19,48,,.500,48
0,0,NJD,0,29,0,0,18,,2013-14,NHL,35,88,,.537,82
0,0,NJD,0,17,0,0,7,,2014-15,NHL,12,31,,.431,36
0,.583,SJS,0,30,10,14,6,Western Conference Champions,2015-16,NHL,46,98,24,.598,82
0,.333,SJS,0,29,4,2,7,,2016-17,NHL,46,99,6,.604,82
0,0,SJS,0,0,0,0,0,,2017-18,NHL,0,0,0,0,0
