playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.429,PHI,0,27,4,3,10,,2013-14,NHL,42,94,7,.595,79
0,0,PHI,0,31,0,0,18,,2014-15,NHL,33,84,0,.512,82
