playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.444,STL,14,21,10,8,0,,1967-68,NHL,23,60,18,.517,58
0,.667,STL,14,25,4,8,0,,1968-69,NHL,37,88,12,.579,76
0,.500,STL,12,27,8,8,0,,1969-70,NHL,37,86,16,.566,76
0,.333,STL,5,10,4,2,0,,1970-71,NHL,13,31,6,.554,28
0,.333,MTL,16,16,4,2,0,,1971-72,NHL,46,108,6,.692,78
0,.706,MTL,16,10,5,12,0,Stanley Cup Champions,1972-73,NHL,52,120,17,.769,78
0,.333,MTL,9,24,4,2,0,,1973-74,NHL,45,99,6,.635,78
0,.545,MTL,19,14,5,6,0,,1974-75,NHL,47,113,11,.706,80
0,.923,MTL,11,11,1,12,0,Stanley Cup Champions,1975-76,NHL,58,127,13,.794,80
0,.857,MTL,12,8,2,12,0,Stanley Cup Champions,1976-77,NHL,60,132,14,.825,80
0,.800,MTL,11,10,3,12,0,Stanley Cup Champions,1977-78,NHL,59,129,15,.806,80
0,.750,MTL,11,17,4,12,0,Stanley Cup Champions,1978-79,NHL,52,115,16,.719,80
0,.643,BUF,16,17,5,9,0,,1979-80,NHL,47,110,14,.688,80
0,.250,BUF,7,10,3,1,0,,1981-82,NHL,18,43,4,.614,35
0,.600,BUF,13,29,4,6,0,,1982-83,NHL,38,89,10,.556,80
0,.000,BUF,7,25,3,0,0,,1983-84,NHL,48,103,3,.644,80
0,.400,BUF,14,28,3,2,0,,1984-85,NHL,38,90,5,.563,80
0,0,BUF,1,18,0,0,0,,1985-86,NHL,18,37,,.500,37
0,0,BUF,2,7,0,0,0,,1986-87,NHL,3,8,,.333,12
0,.762,PIT,9,32,5,16,0,Stanley Cup Champions,1991-92,NHL,39,87,21,.544,80
0,.583,PIT,7,21,5,7,0,,1992-93,NHL,56,119,12,.708,84
0,.429,DET,8,30,4,3,0,,1993-94,NHL,46,100,7,.595,84
0,.667,DET,4,11,6,12,0,Western Conference Champions,1994-95,NHL,33,70,18,.729,48
0,.526,DET,7,13,9,10,0,,1995-96,NHL,62,131,19,.799,82
0,.800,DET,18,26,4,16,0,Stanley Cup Champions,1996-97,NHL,38,94,20,.573,82
0,.727,DET,15,23,6,16,0,Stanley Cup Champions,1997-98,NHL,44,103,22,.628,82
0,.600,DET,7,31,4,6,0,,1998-99,NHL,39,85,10,.552,77
0,.556,DET,10,22,4,5,2,,1999-00,NHL,48,108,9,.659,82
0,.333,DET,9,20,4,2,4,,2000-01,NHL,49,111,6,.677,82
0,.696,DET,10,17,7,16,4,Stanley Cup Champions,2001-02,NHL,51,116,23,.707,82
