playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.500,MTL,0,9,1,1,0,,1917-18,NHL,13,26,2,.591,22
0,.800,MTL,0,8,1,4,0,NHL Champions,1918-19,NHL,10,20,5,.556,18
0,0,MTL,0,11,0,0,0,,1919-20,NHL,13,26,,.542,24
0,0,MTL,0,11,0,0,0,,1920-21,NHL,13,26,,.542,24
0,0,MTL,0,5,0,0,0,,1921-22,NHL,2,4,,.286,7
0,0,NYA,2,25,0,0,0,,1926-27,NHL,17,36,,.409,44
1,.250,OTS,8,15,1,0,0,,1929-30,NHL,21,50,2,.568,44
0,0,OTS,4,30,0,0,0,,1930-31,NHL,10,24,,.273,44
1,.250,MTL,5,25,1,0,0,,1932-33,NHL,18,41,2,.427,48
1,.250,MTL,6,20,1,0,0,,1933-34,NHL,22,50,2,.521,48
0,0,MTL,3,8,0,0,0,,1934-35,NHL,5,13,,.406,16
