playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,PHI,14,38,0,0,0,,1971-72,NHL,26,66,,.423,78
0,.455,PHI,11,30,6,5,0,,1972-73,NHL,37,85,11,.545,78
0,.706,PHI,12,16,5,12,0,Stanley Cup Champions,1973-74,NHL,50,112,17,.718,78
0,.706,PHI,11,18,5,12,0,Stanley Cup Champions,1974-75,NHL,51,113,17,.706,80
0,.500,PHI,16,13,8,8,0,,1975-76,NHL,51,118,16,.738,80
0,.400,PHI,16,16,6,4,0,,1976-77,NHL,48,112,10,.700,80
0,.583,PHI,15,20,5,7,0,,1977-78,NHL,45,105,12,.656,80
0,.611,NYR,11,29,7,11,0,,1978-79,NHL,40,91,18,.569,80
0,.444,NYR,10,32,5,4,0,,1979-80,NHL,38,86,9,.538,80
0,0,NYR,3,13,0,0,0,,1980-81,NHL,4,11,,.275,20
