playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,.632,PHI,7,20,7,12,0,Prince of Wales Conference Champions,1984-85,NHL,53,113,19,.706,80
0,.400,PHI,4,23,3,2,0,,1985-86,NHL,53,110,5,.688,80
0,.577,PHI,8,26,11,15,0,Prince of Wales Conference Champions,1986-87,NHL,46,100,26,.625,80
0,.429,PHI,9,33,4,3,0,,1987-88,NHL,38,85,7,.531,80
0,.563,CHI,12,41,7,9,0,,1988-89,NHL,27,66,16,.413,80
0,.500,CHI,6,33,10,10,0,,1989-90,NHL,41,88,20,.550,80
0,.333,CHI,8,23,4,2,0,,1990-91,NHL,49,106,6,.663,80
0,.667,CHI,15,29,6,12,0,Clarence Campbell Conference Champions,1991-92,NHL,36,87,18,.544,80
0,.696,NYR,8,24,7,16,0,Stanley Cup Champions,1993-94,NHL,52,112,23,.667,84
0,.429,STL,5,15,4,3,0,,1994-95,NHL,28,61,7,.635,48
0,.538,STL,16,34,6,7,0,,1995-96,NHL,32,80,13,.488,82
0,0,STL,1,17,0,0,0,,1996-97,NHL,15,31,,.470,33
0,0,VAN,12,30,0,0,0,,1997-98,NHL,21,54,,.429,63
0,0,VAN,6,24,0,0,0,,1998-99,NHL,15,36,,.400,45
0,0,BOS,7,26,0,0,8,,2000-01,NHL,33,81,,.547,74
0,0,FLA,8,29,0,0,3,,2001-02,NHL,16,43,,.384,56
0,0,FLA,13,36,0,0,9,,2002-03,NHL,24,70,,.427,82
0,0,FLA,2,8,0,0,0,,2003-04,NHL,5,12,,.400,15
0,.429,CGY,0,30,4,3,10,,2007-08,NHL,42,94,7,.573,82
0,.333,CGY,0,30,4,2,6,,2008-09,NHL,46,98,6,.598,82
