playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,CBH,4,6,0,0,0,,1928-29,NHL,2,8,,.333,12
1,.611,CBH,3,17,3,5,0,,1930-31,NHL,24,51,9,.580,44
1,.786,TOR,5,15,1,5,0,Stanley Cup Champions,1931-32,NHL,23,51,7,.593,43
0,.444,TOR,6,18,5,4,0,,1932-33,NHL,24,54,9,.563,48
0,.400,TOR,9,13,3,2,0,,1933-34,NHL,26,61,5,.635,48
0,.429,TOR,4,14,4,3,0,,1934-35,NHL,30,64,7,.667,48
0,.444,TOR,6,19,5,4,0,,1935-36,NHL,23,52,9,.542,48
0,.000,TOR,5,21,2,0,0,,1936-37,NHL,22,49,2,.510,48
0,.571,TOR,9,15,3,4,0,,1937-38,NHL,24,57,7,.594,48
0,.500,TOR,9,20,5,5,0,,1938-39,NHL,19,47,10,.490,48
0,.600,TOR,6,17,4,6,0,,1939-40,NHL,25,56,10,.583,48
0,.333,MTL,6,26,2,1,0,,1940-41,NHL,16,38,3,.396,48
0,.333,MTL,3,27,2,1,0,,1941-42,NHL,18,39,3,.406,48
0,.200,MTL,12,19,4,1,0,,1942-43,NHL,19,50,5,.500,50
0,.889,MTL,7,5,1,8,0,Stanley Cup Champions,1943-44,NHL,38,83,9,.830,50
0,.333,MTL,4,8,4,2,0,,1944-45,NHL,38,80,6,.800,50
0,.889,MTL,5,17,1,8,0,Stanley Cup Champions,1945-46,NHL,28,61,9,.610,50
0,.545,MTL,10,16,5,6,0,,1946-47,NHL,34,78,11,.650,60
0,0,MTL,11,29,0,0,0,,1947-48,NHL,20,51,,.425,60
0,.429,MTL,9,23,4,3,0,,1948-49,NHL,28,65,7,.542,60
0,.200,MTL,19,22,4,1,0,,1949-50,NHL,29,77,5,.550,70
0,.455,MTL,15,30,6,5,0,,1950-51,NHL,25,65,11,.464,70
0,.364,MTL,10,26,7,4,0,,1951-52,NHL,34,78,11,.557,70
0,.667,MTL,19,23,4,8,0,Stanley Cup Champions,1952-53,NHL,28,75,12,.536,70
0,.636,MTL,11,24,4,7,0,,1953-54,NHL,35,81,11,.579,70
0,.583,MTL,11,18,5,7,0,,1954-55,NHL,41,93,12,.664,70
0,0,CBH,12,39,0,0,0,,1955-56,NHL,19,50,,.357,70
