playoff_ties,playoff_win_lose,team,ties,loses,playoff_loses,playoff_wins,overtime_loses,playoff_note,season,leage,wins,points,finishing_position,points_percentage,games_played
0,0,DAL,5,23,0,0,0,,1995-96,NHL,15,35,,.407,43
0,.429,DAL,8,26,4,3,0,,1996-97,NHL,48,104,7,.634,82
0,.588,DAL,11,22,7,10,0,,1997-98,NHL,49,109,17,.665,82
0,.696,DAL,12,19,7,16,0,Stanley Cup Champions,1998-99,NHL,51,114,23,.695,82
0,.609,DAL,10,23,9,14,6,Western Conference Champions,1999-00,NHL,43,102,23,.622,82
0,.400,DAL,8,24,6,4,2,,2000-01,NHL,48,106,10,.646,82
0,0,DAL,6,17,0,0,4,,2001-02,NHL,23,56,,.560,50
0,.462,PHI,13,20,7,6,4,,2002-03,NHL,45,107,13,.652,82
0,.611,PHI,15,21,7,11,6,,2003-04,NHL,40,101,18,.616,82
0,.333,PHI,0,26,4,2,11,,2005-06,NHL,45,101,6,.616,82
0,0,PHI,0,6,0,0,1,,2006-07,NHL,1,3,,.188,8
0,0,CBJ,0,29,0,0,5,,2006-07,NHL,28,61,,.492,62
0,0,CBJ,0,36,0,0,12,,2007-08,NHL,34,80,,.488,82
0,.000,CBJ,0,31,4,0,10,,2008-09,NHL,41,92,4,.561,82
0,0,CBJ,0,27,0,0,9,,2009-10,NHL,22,53,,.457,58
0,.444,STL,0,15,5,4,11,,2011-12,NHL,43,97,9,.703,69
0,.333,STL,0,17,4,2,2,,2012-13,NHL,29,60,6,.625,48
0,.333,STL,0,23,4,2,7,,2013-14,NHL,52,111,6,.677,82
0,.333,STL,0,24,4,2,7,,2014-15,NHL,51,109,6,.665,82
0,.500,STL,0,24,10,10,9,,2015-16,NHL,49,107,20,.652,82
0,0,STL,0,21,0,0,5,,2016-17,NHL,24,53,0,.530,50
0,0,DAL,0,0,0,0,0,,2017-18,NHL,0,0,0,0,0
