assists,team,goals,year,games_played,points,pim,age,plus_minus,league
10,JYP U16,4,2010-11,10,14,14,15,0,Jr. C SM-sar
5,Finland U16 (all),0,2010-11,7,5,0,15,0,Internationa
5,Finland U17 (all),2,2011-12,13,7,6,16,0,Internationa
0,JYP U20,0,2011-12,2,0,0,16,0,Jr. A SM-lii
0,JYP U18,2,2011-12,9,2,16,16,0,Jr. B SM-sar
11,JYP U20,4,2012-13,42,15,47,17,-4,Jr. A SM-lii
4,Finland U18 (all),0,2012-13,13,4,14,17,4,Internationa
3,Finland U18,1,2012-13,7,4,2,17,2,WJC-18
2,Finland U18,0,2012-13,5,2,4,17,2,Hlinka Memor
1,Finland U20 (all),0,2013-14,5,1,0,18,0,Internationa
1,Finland U20,0,2013-14,7,1,6,18,1,WJC-20
40,Swift Current Broncos,16,2013-14,62,56,52,18,10,WHL
23,Texas Stars,8,2014-15,68,31,55,19,-10,AHL
1,Finland U20 (all),1,2014-15,5,2,6,19,-2,Internationa
1,Finland U20,1,2014-15,5,2,6,19,-2,WJC-20
33,Texas Stars,11,2015-16,73,44,38,20,1,AHL
24,Texas Stars,7,2016-17,50,31,59,21,-4,AHL
1,Finland (all),0,2016-17,2,1,0,21,1,Internationa
