pim,team,assists,plus_minus,points,league,games_played,year,age,goals
4,Mount St. Charles Mounties,15,0,18,High-RI,15,1991-92,14,3
18,Mount St. Charles Mounties,12,0,20,High-RI,15,1992-93,15,8
5,Mount St. Charles Mounties,26,0,37,High-RI,15,1993-94,16,11
97,Detroit Jr. Red Wings,55,0,75,OHL,58,1994-95,17,20
36,United States,1,0,1,WJC-A,7,1994-95,17,0
116,Detroit Jr. Whalers,58,0,89,OHL,56,1995-96,18,31
20,United States,4,0,5,WJC-A,6,1995-96,18,1
0,United States,0,0,1,WC-A,1,1996-97,19,1
0,United States,0,0,0,Olympics,2,1997-98,20,0
103,Vityaz Chekhov,14,0,17,KHL,25,2008-09,31,3
