pim,team,assists,plus_minus,points,league,games_played,year,age,goals
6,St. Catharines Saints,2,0,4,OHA-Sr.,8,1939-40,20,2
12,St. Catharines Saints,7,0,9,OHA-Sr.,12,1940-41,21,2
11,St. Catharines Saints,4,0,6,OHA-Sr.,11,1941-42,22,2
9,St. Catharines Saints,1,0,3,OHA-Sr.,3,1942-43,23,2
4,St. Catharines Saints,1,0,1,OHA-Sr.,5,1943-44,24,0
0,Montreal Royals,0,0,1,QSHL,1,1943-44,24,1
4,Port Arthur Shipbuilders,1,0,2,TBSHL,9,1943-44,24,1
4,Pittsburgh Hornets,1,0,2,AHL,6,1945-46,26,1
6,Pittsburgh Hornets,1,0,3,AHL,12,1946-47,27,2
0,Pittsburgh Hornets,0,0,0,AHL,2,1947-48,28,0
8,Pittsburgh Hornets,4,0,4,AHL,13,1950-51,31,0
10,Pittsburgh Hornets,0,0,0,AHL,11,1951-52,32,0
16,Pittsburgh Hornets,1,0,1,AHL,3,1952-53,33,0
4,Pittsburgh Hornets,0,0,0,AHL,5,1953-54,34,0
6,Sault Ste. Marie Indians,0,0,3,NOHA,6,1954-55,35,3
2,Sault Ste. Marie Indians,0,0,0,NOHA,2,1955-56,36,0
