power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,4,2,0,NHL,1976-77,20,1,STL,,1,2,-2,0,11,,,9.1,1
0,3,1,0,NHL,1979-80,23,1,STL,,0,2,-5,0,6,,,16.7,1
4,11,18,1,NHL,1980-81,24,8,STL,,10,2,-7,0,38,,,21.1,4
1,10,18,1,NHL,1981-82,25,3,STL,,15,10,8,0,17,,,17.6,2
1,4,5,0,NHL,1982-83,26,2,STL,,3,0,-3,0,13,,,15.4,1
1,11,8,1,NHL,1983-84,27,4,STL,,4,10,-5,0,26,,,15.4,3
0,3,2,0,NHL,1984-85,28,0,STL,,2,4,1,0,3,,,0.0,0
1,19,0,1,NHL,1985-86,29,7,STL,,14,17,2,0,34,,,20.6,6
1,6,6,0,NHL,1986-87,30,3,STL,,3,18,0,0,9,,,33.3,2
2,10,8,0,NHL,1987-88,31,2,STL,,6,18,-6,0,8,,,25.0,0
2,10,12,0,NHL,1988-89,32,4,STL,,8,0,-2,0,19,,,21.1,2
