bad_start,shutouts,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,games_started,age,good_start_precentages,saves,pim,goals,good_starts,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,won,assists,ties,wins,games_played,minutes
0,0,0,2.91,0.68,115,WHA,0,32,0,103,0,0,0,95,12,.896,1972-73,LAS,0,,0,0,0,5,247
0,0,0,3.80,0,56,WHA,0,34,0,51,0,0,0,0,5,.911,1974-75,SDM,0,,0,0,0,3,79
0,0,0,0.00,0,0,WHA,0,35,0,0,0,0,0,0,0,0,1975-76,SDM,0,,0,0,0,1,20
