shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
0,1961-62,14,0,,0,0,0,0,0,2,CBH,0,23,0,NHL,0,,19,2,[],0
0,1962-63,74,0,,0,0,0,0,0,5,CBH,3,24,0,NHL,0,,67,8,"[{'link': '/awards/voting-1963.html#calder', 'name': 'Calder-3'}]",0
0,1963-64,51,0,,0,0,0,1,0,4,CBH,1,25,0,NHL,0,,59,5,[],0
0,1964-65,34,0,,0,0,0,1,0,8,TOT,1,26,0,NHL,0,,41,9,[],0
0,1964-65,8,0,,0,0,0,0,0,1,CBH,0,26,0,NHL,0,,19,1,[],0
0,1964-65,26,0,,0,0,0,1,0,7,NYR,1,26,0,NHL,0,,22,8,[],0
0,1965-66,70,0,,0,0,0,3,0,17,NYR,3,27,1,NHL,0,,68,20,[],0
0,1966-67,43,0,,0,0,0,2,0,12,NYR,2,28,1,NHL,0,,67,14,[],0
0.0,1967-68,46,4,,1,39,0,0,9,5,NYR,0,29,0,NHL,0,,62,5,[],0
0.0,1968-69,32,8,,0,44,0,0,-25,8,MNS,0,30,0,NHL,0,,50,8,[],0
3.8,1969-70,69,3,,0,79,2,1,-9,5,PHI,3,31,0,NHL,0,,68,8,[],2
7.0,1970-71,47,7,,0,71,0,5,12,7,PHI,5,32,1,NHL,0,,69,12,[],0
0.0,1971-72,21,3,,0,18,0,0,-16,3,PHI,0,33,0,NHL,0,,47,3,[],0
0.0,1972-73,33,9,,0,41,1,0,16,10,PHI,0,34,0,NHL,0,,74,10,[],0
0,1973-74,51,0,,0,0,0,1,0,7,CLC,1,35,0,WHA,0,,66,8,[],0
6.7,1974-75,37,0,,0,30,0,2,3,9,CLC,2,36,0,WHA,0,,60,11,[],0
